date,workplaces,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks
2020-02-15,0.5024025627335825,6.7679180887372015,2.5682722050375606,-0.9881188118811881,4.553895410885806,17.078580481622307
2020-02-16,0.5670767428236673,8.225748770675011,2.7172093023255814,-0.9445407279029463,3.967670011148272,18.12236842105263
2020-02-17,-17.756043956043957,4.049697493517718,-0.3751131221719457,4.405906593406593,1.9032586558044806,28.271604938271604
2020-02-18,-0.006305170239596469,-0.2116591928251121,-1.3771532184950137,1.3457446808510638,2.440041710114703,5.466076696165191
2020-02-19,1.001656314699793,2.2228994340444057,0.6395563770794824,0.34545454545454546,2.6346153846153846,8.153166421207658
2020-02-20,-0.38744769874476986,0.19247404844290658,-0.16757000903342367,1.9222577209797658,2.0982599795291708,-1.3008474576271187
2020-02-21,0.5471621069824418,2.7863829787234042,-1.6326618088298328,1.082046332046332,3.6560077519379846,6.725381414701803
2020-02-22,3.2959390862944162,8.417085427135678,3.7671654929577465,-1.2933673469387754,6.792332268370607,35.68841544607191
2020-02-23,2.76644370122631,8.873594242015294,4.244025735294118,-1.1026058631921825,7.070077864293659,32.39262187088274
2020-02-24,3.010224144710971,1.7662222222222221,0.1295029639762882,0.641213389121339,0.9610655737704918,7.336244541484716
2020-02-25,1.3121434392828035,4.737201365187714,0.8459780621572212,0.33213429256594723,2.4335736354273942,8.347692307692308
2020-02-26,1.7344953384677746,11.062866722548199,4.140044742729306,-0.6142625607779578,4.942655935613682,5.11631419939577
2020-02-27,0.660056657223796,10.388680815647108,3.7782204515272246,-0.14394580863674852,6.108891108891109,10.587278106508876
2020-02-28,2.4504283965728275,10.96107544141252,5.6231884057971016,-1.3491666666666666,7.732758620689655,12.349794238683128
2020-02-29,3.204708290685773,14.824279835390946,8.500639113762249,-2.0836197021764034,10.230849947534104,23.419689119170986
2020-03-01,3.7910124526258797,19.652863436123347,11.94973309608541,-1.786649214659686,12.478405315614618,30.843055555555555
2020-03-02,3.766770670826833,10.73330515638208,6.039947322212467,-0.7693023255813953,3.424742268041237,12.423831070889895
2020-03-03,1.895582329317269,16.152083333333334,11.353759235115167,-1.0908326324642557,4.8516260162601625,22.03791469194313
2020-03-04,2.232699312019425,11.731554814506044,7.11495246326707,-0.7820919175911252,5.300507614213198,20.026113671274963
2020-03-05,2.0539235412474848,11.120987654320988,7.853986135181976,-0.7898089171974523,6.563618290258449,20.54872563718141
2020-03-06,2.320870994248151,8.331701346389229,4.402927249246664,-0.7155635062611807,7.804034582132565,16.74225352112676
2020-03-07,3.6365015166835186,14.061316872427984,9.924216765453005,-1.7715311004784688,12.796610169491526,38.94068965517241
2020-03-08,2.453585325180656,16.944665781319166,11.078641644325291,-1.4941520467836258,14.546265328874025,58.39497041420118
2020-03-09,0.9963384865744508,8.982256020278834,7.376589215256466,-0.018570102135561744,5.3861788617886175,39.13225806451613
2020-03-10,-0.4778387505276488,10.068429890848027,8.445220427760804,0.3129610115911486,5.025614754098361,28.35126582278481
2020-03-11,-0.3991561181434599,11.509166666666667,11.6629261976694,-0.5311244979919679,5.941414141414142,34.67353407290016
2020-03-12,-1.806191687871077,11.515463917525773,23.16508620689655,0.2182468694096601,5.297324083250743,29.145768025078368
2020-03-13,-3.737075928917609,6.502258726899384,26.415211970074814,2.063099041533546,2.3227969348659006,14.435393258426966
2020-03-14,-0.4119772844605059,0.16190075693860387,19.829196466133784,2.7639060568603213,1.118312757201646,14.128589263420723
2020-03-15,-5.097676874340021,-0.08359409924005365,17.98122485471614,3.1316818774445894,0.41776315789473684,18.044098573281453
2020-03-16,-12.523756495916853,-0.7056034482758621,25.655801825293352,5.726294552790854,-5.084158415841584,8.332335329341317
2020-03-17,-18.38236357065414,-12.222129783693843,17.94601654331737,8.552702702702703,-7.493545183714002,18.312302839116718
2020-03-18,-21.907460545193686,-18.098684210526315,13.667102966841187,10.26547455295736,-9.623791102514506,19.756211180124225
2020-03-19,-24.38593974175036,-22.801449859041483,12.03866203301477,12.105189340813464,-14.71264367816092,9.946646341463415
2020-03-20,-25.990538573508005,-27.663304887509696,9.802510460251046,14.08284023668639,-18.119416590701913,10.305013927576601
2020-03-21,-18.60274599542334,-33.65524113192507,5.297343616109683,10.389578163771713,-18.49851924975321,12.314249363867685
2020-03-22,-26.314489311163896,-36.77669902912621,-6.670818505338079,9.742857142857142,-25.579324462640738,5.246851385390428
2020-03-23,-29.924046076313896,-31.244435451234317,-3.0608315098468273,14.65659543109801,-25.329598506069093,-16.151898734177216
2020-03-24,-34.02285714285714,-34.608363490148776,-8.460344827586207,16.419068736141906,-24.055818353831597,0.6765578635014837
2020-03-25,-35.44789436117059,-33.50665590964098,-8.59410234171726,16.639198218262806,-25.216822429906543,3.4545454545454546
2020-03-26,-36.19550481626828,-33.93503387803906,-8.625053441641727,17.054599850411368,-26.73968835930339,16.025236593059937
2020-03-27,-35.89938472674629,-36.52556158017041,-10.539030402629416,18.624509033778477,-30.899733806566104,8.969444444444445
2020-03-28,-27.15426251691475,-40.80512204881953,-12.530434782608696,13.384514435695538,-33.45593869731801,-12.08272506082725
2020-03-29,-31.969768540387342,-38.105397365065876,-15.292651482595616,11.466467958271236,-35.235059760956176,-3.314060446780552
2020-03-30,-36.225493716337525,-33.76869918699187,-12.124260355029586,16.37433561123766,-30.70702402957486,-4.778761061946903
2020-03-31,-38.76797153024911,-34.82624398073836,-11.334188034188035,17.896577946768062,-28.351526364477337,-6.509544787077827
2020-04-01,-39.043462771642325,-30.132632430246662,-3.222077922077922,17.25056433408578,-26.94770642201835,5.449848024316109
2020-04-02,-39.653873489694384,-34.30870607028754,-5.031786941580756,18.34739263803681,-30.145569620253166,2.3273273273273274
2020-04-03,-39.38211968276857,-36.50135922330097,-4.411129568106312,20.061996779388085,-34.172413793103445,-9.215425531914894
2020-04-04,-30.168241115609536,-42.97968936678614,-8.18425460636516,14.052631578947368,-36.462345090562444,-9.441747572815533
2020-04-05,-34.26850984067479,-41.22015241320914,-12.36257562662057,11.796969696969697,-39.55291790306627,4.201324503311258
2020-04-06,-38.98137535816619,-37.762660619803476,-13.383898305084745,17.09189189189189,-32.748387096774195,8.414781297134239
2020-04-07,-41.01349431818182,-37.61457550713749,-11.606808510638297,17.88027628549501,-29.44506001846722,15.143769968051119
2020-04-08,-41.481876332622605,-37.278481012658226,-10.95446735395189,17.815689261233814,-29.68102658111824,11.513343799058084
2020-04-09,-42.05220170454545,-37.7731884057971,-9.307888040712468,19.03875968992248,-32.60826594788859,-6.790229885057471
2020-04-10,-47.46900752418488,-38.69440832249675,-8.944006309148264,21.8323301805675,-37.38447971781305,-4.747311827956989
2020-04-11,-31.458090542357688,-40.85382059800664,-4.025295109612141,13.26514131897712,-37.788022813688215,1.7002518891687657
2020-04-12,-40.76462395543175,-62.02212389380531,-39.985133020344286,12.488958990536277,-46.023529411764706,-22.51860465116279
2020-04-13,-40.48301751877011,-39.25482912332838,-18.041252864782276,18.423622047244095,-35.642595978062154,-22.147339699863576
2020-04-14,-39.26023495906016,-34.79926470588235,-12.63981409759876,17.973384030418252,-29.98165137614679,-0.93993993993994
2020-04-15,-38.963713980789755,-26.697986577181208,-6.684931506849315,17.355957767722472,-28.286501377410467,-2.824891461649783
2020-04-16,-38.91168091168091,-30.30933713471133,-7.974097331240189,18.063878326996196,-30.51177536231884,-0.7312775330396476
2020-04-17,-38.22410682064237,-35.00706486833654,-12.837625178826896,19.60431654676259,-33.19754170324846,-6.0958721704394145
2020-04-18,-26.79864559819413,-36.287779237844944,-10.543445121951219,12.556862745098039,-32.184645286686106,-3.612531969309463
2020-04-19,-31.564539007092197,-36.201062215478,-15.946369636963697,10.640648011782032,-36.372727272727275,7.965333333333334
2020-04-20,-36.73548387096774,-29.45263157894737,-11.588097102584182,16.106382978723403,-30.109563602599813,8.419306184012067
2020-04-21,-38.06098430813124,-29.43587842846553,-9.361022364217252,16.861654135338345,-27.295220243673853,6.587869362363919
2020-04-22,-38.4338078291815,-29.943340691685062,-8.917786561264823,17.02252252252252,-26.921803127874885,3.5640243902439024
2020-04-23,-38.722934472934476,-32.65860597439545,-10.118380062305295,18.23672230652504,-29.332415059687786,-4.550704225352113
2020-04-24,-37.47455792132804,-32.30135222150676,-10.358435916002897,18.543512658227847,-30.18656056587091,1.8109243697478992
2020-04-25,-25.842701722574795,-32.988118811881186,-7.127871362940276,11.154838709677419,-27.801792828685258,19.00138696255201
2020-04-26,-30.369245372567633,-32.01146788990825,-11.170588235294117,9.894890510948905,-31.408580183861083,4.64625850340136
2020-04-27,-34.83033788641265,-24.973384030418252,-7.585542168674698,15.345864661654135,-26.587958607714018,8.574961360123648
2020-04-28,-36.750534568781184,-24.392830470500375,-5.060113728675873,9.791022810890361,-23.38783269961977,21.726973684210527
2020-04-29,-36.9747241011036,-24.098360655737704,-4.470252648736756,16.093144560357675,-23.871028037383176,8.354887218045112
2020-04-30,-36.75098109168748,-24.188993482983346,-3.031050955414013,16.4407796101949,-24.18820224719101,3.2980910425844345
2020-05-01,-35.19168173598553,-22.086899275839368,0.1358574610244989,15.696594427244582,-22.063636363636363,24.153153153153152
2020-05-02,-22.690552259242356,-23.85819397993311,2.336206896551724,8.534912718204488,-18.641450777202074,44.48966613672496
2020-05-03,-25.602001906577694,-21.965732087227416,-1.816987740805604,7.4209039548022595,-22.803364879074657,43.734157650695515
2020-05-04,-32.465107913669065,-18.25115562403698,-1.1995153473344102,13.289512555391433,-22.350435624394965,20.3876582278481
2020-05-05,-33.893928571428575,-17.963636363636365,2.8181818181818183,14.343864805290227,-20.30635838150289,19.8330658105939
2020-05-06,-33.856274579907044,-19.13995485327314,1.1298274445357437,14.24835646457268,-19.640226628895185,23.111831442463533
2020-05-07,-33.761001788908764,-19.35272727272727,2.8485092667203866,14.161667885881492,-19.166034155597725,40.00511073253833
2020-05-08,-33.36939218523879,-23.511490479317136,0.1367713004484305,15.907421576128538,-22.01466544454629,12.23512747875354
2020-05-09,-20.17285648784961,-19.91785471826205,13.25,8.198765432098766,-18.173694779116467,24.718092566619916
2020-05-10,-22.066473988439306,-18.929632525410476,8.015943312666076,5.781767955801105,-21.0875386199794,31.266666666666666
2020-05-11,-30.84390771449171,-21.206923076923076,-4.688051323175621,13.312362838332113,-21.09353905496625,10.001557632398754
2020-05-12,-31.692032868881743,-18.72630780894617,-0.36619718309859156,13.529199711607786,-18.7487922705314,25.51864406779661
2020-05-13,-31.716893342877594,-16.71798780487805,0.9178981937602627,13.261494252873563,-17.641706161137442,36.3785594639866
2020-05-14,-31.989251164457183,-17.12043795620438,1.6778846153846154,13.03735632183908,-18.80552907530982,32.60299003322259
2020-05-15,-31.465892597968068,-18.793122886133034,-0.22800256904303148,13.802264150943396,-19.532033426183844,39.354166666666664
2020-05-16,-17.804956402019275,-18.127314814814813,3.7608856088560887,7.155339805825243,-16.11722731906218,49.01854714064915
