"DateTime","Index","Count"
"2012-03-30 00:00:00",-0.2500000111758709
"2012-04-01 00:00:00",,2
"2012-04-09 00:00:00",-0.30000001192092896
"2012-05-01 00:00:00",0.10000000149011612,9
"2012-05-03 00:00:00",0.10000000149011612
"2012-05-07 00:00:00",0.10000000149011612
"2012-05-09 00:00:00",-0.699999988079071
"2012-05-16 00:00:00",-0.10000000149011612
"2012-05-17 00:00:00",0.10000000149011612
"2012-05-19 00:00:00",0.10000000149011612
"2012-05-23 00:00:00",0.10000000149011612
"2012-05-31 00:00:00",-0.4000000059604645
"2012-06-01 00:00:00",,2
"2012-06-21 00:00:00",-0.30000001192092896
"2012-06-22 00:00:00",0.10000000149011612
"2012-07-01 00:00:00",,9
"2012-07-15 00:00:00",0.10000000149011612
"2012-07-16 00:00:00",-0.699999988079071
"2012-07-22 00:00:00",0.10000000149011612
"2012-07-25 00:00:00",-0.4000000059604645
"2012-07-28 00:00:00",-0.2500000111758709
"2012-07-30 00:00:00",-0.5
"2012-08-01 00:00:00",,5
"2012-08-08 00:00:00",-0.6000000238418579
"2012-08-10 00:00:00",0.10000000149011612
"2012-08-12 00:00:00",-0.30000001192092896
"2012-08-15 00:00:00",-0.10000000149011612
"2012-09-01 00:00:00",,6
"2012-09-02 00:00:00",0.4000000059604645
"2012-09-09 00:00:00",0.10000000149011612
"2012-09-11 00:00:00",0.10000000149011612
"2012-09-12 00:00:00",-0.20000000298023224
"2012-09-17 00:00:00",0.20000000298023224
"2012-10-01 00:00:00",,7
"2012-10-05 00:00:00",-0.4333333373069763
"2012-10-07 00:00:00",0.10000000149011612
"2012-10-16 00:00:00",0.10000000149011612
"2012-10-26 00:00:00",-0.75
"2012-11-01 00:00:00",,4
"2012-11-27 00:00:00",-0.5
"2012-11-28 00:00:00",0.10000000149011612
"2012-12-01 00:00:00",,3
"2012-12-11 00:00:00",-0.15000000223517418
"2012-12-17 00:00:00",0.10000000149011612
"2013-01-01 00:00:00",,8
"2013-01-04 00:00:00",-0.10000000149011612
"2013-01-09 00:00:00",0.10000000149011612
"2013-01-11 00:00:00",0.10000000149011612
"2013-01-21 00:00:00",-0.10000000149011612
"2013-01-30 00:00:00",0.1666666716337204
"2013-03-01 00:00:00",,5
"2013-03-20 00:00:00",-0.30000001192092896
"2013-03-26 00:00:00",0.20000000298023224
"2013-04-01 00:00:00",-0.05000000074505806,9
"2013-04-11 00:00:00",-0.800000011920929
"2013-04-15 00:00:00",-0.30000001192092896
"2013-04-16 00:00:00",-0.10000000149011612
"2013-04-24 00:00:00",-0.699999988079071
"2013-05-01 00:00:00",,8
"2013-05-02 00:00:00",-0.30000001192092896
"2013-05-06 00:00:00",0.10000000149011612
"2013-05-09 00:00:00",0.10000000149011612
"2013-05-14 00:00:00",0.10000000149011612
"2013-05-28 00:00:00",0.10000000149011612
"2013-05-29 00:00:00",0
"2013-06-01 00:00:00",,6
"2013-06-05 00:00:00",0.30000001192092896
"2013-06-10 00:00:00",0.10000000149011612
"2013-06-13 00:00:00",0.10000000149011612
"2013-06-15 00:00:00",-0.4000000059604645
"2013-07-01 00:00:00",,2
"2013-07-29 00:00:00",-0.30000001192092896
"2013-08-01 00:00:00",-0.5,5
"2013-08-15 00:00:00",-0.10000000521540642
"2013-08-16 00:00:00",-0.10000000149011612
"2013-09-01 00:00:00",,3
"2013-09-13 00:00:00",0.10000000149011612
"2013-09-27 00:00:00",-0.29999999329447746
"2013-10-01 00:00:00",,9
"2013-10-09 00:00:00",-0.20000000298023224
"2013-10-10 00:00:00",0
"2013-10-16 00:00:00",0
"2013-10-25 00:00:00",-0.4000000059604645
"2013-10-26 00:00:00",-0.20000000298023224
"2013-10-30 00:00:00",0.10000000149011612
"2013-11-01 00:00:00",0.5,13
"2013-11-06 00:00:00",0.10000000149011612
"2013-11-11 00:00:00",-0.800000011920929
"2013-11-14 00:00:00",0.10000000149011612
"2013-11-18 00:00:00",-0.30000001192092896
"2013-11-21 00:00:00",-0.30000001192092896
"2013-11-22 00:00:00",-0.5666666825612386
"2013-11-23 00:00:00",-0.5
"2013-11-25 00:00:00",-0.20000000298023224
"2013-12-01 00:00:00",,7
"2013-12-03 00:00:00",-0.30000001192092896
"2013-12-08 00:00:00",-0.10000000149011612
"2013-12-16 00:00:00",0.10000000149011612
"2013-12-31 00:00:00",-0.30000001192092896
"2014-01-01 00:00:00",,5
"2014-01-25 00:00:00",0.10000000149011612
"2014-01-29 00:00:00",0.10000000149011612
"2014-01-31 00:00:00",0.6000000238418579
"2014-02-01 00:00:00",-0.10000000149011612,7
"2014-02-11 00:00:00",-0.20000000298023224
"2014-02-14 00:00:00",-0.30000001192092896
"2014-02-18 00:00:00",0.10000000149011612
"2014-02-27 00:00:00",0.10000000149011612
"2014-03-01 00:00:00",,12
"2014-03-05 00:00:00",0.10000000149011612
"2014-03-12 00:00:00",-0.4000000059604645
"2014-03-20 00:00:00",-0.10000000521540642
"2014-03-24 00:00:00",-0.29999999950329465
"2014-03-27 00:00:00",0.10000000149011612
"2014-03-28 00:00:00",0.10000000149011612
"2014-04-01 00:00:00",,6
"2014-04-02 00:00:00",-0.5
"2014-04-19 00:00:00",-0.10000000149011612
"2014-04-21 00:00:00",-0.29999999329447746
"2014-04-27 00:00:00",-0.699999988079071
"2014-04-29 00:00:00",-0.699999988079071
"2014-05-01 00:00:00",,6
"2014-05-04 00:00:00",-0.6000000238418579
"2014-05-15 00:00:00",-0.5
"2014-05-16 00:00:00",0.30000001192092896
"2014-06-01 00:00:00",,11
"2014-06-17 00:00:00",0.10000000149011612
"2014-06-18 00:00:00",-0.15000000223517418
"2014-06-20 00:00:00",0.10000000149011612
"2014-06-21 00:00:00",0.5
"2014-06-23 00:00:00",0.10000000149011612
"2014-06-25 00:00:00",-0.30000001192092896
"2014-07-01 00:00:00",,8
"2014-07-02 00:00:00",0.10000000149011612
"2014-07-09 00:00:00",-0.44999999552965164
"2014-07-21 00:00:00",0.10000000149011612
"2014-07-23 00:00:00",0.10000000149011612
"2014-08-01 00:00:00",,9
"2014-08-07 00:00:00",-0.10000000149011612
"2014-08-11 00:00:00",-0.4000000059604645
"2014-08-16 00:00:00",0.30000001192092896
"2014-08-19 00:00:00",-0.20000000298023224
"2014-08-25 00:00:00",0.10000000149011612
"2014-09-01 00:00:00",,6
"2014-09-03 00:00:00",-0.10000000149011612
"2014-09-09 00:00:00",0.10000000149011612
"2014-09-18 00:00:00",-0.10000000149011612
"2014-09-19 00:00:00",-0.20000000298023224
"2014-09-26 00:00:00",-0.10000000149011612
"2014-09-30 00:00:00",-0.10000000149011612
"2014-10-01 00:00:00",,9
"2014-10-02 00:00:00",-0.20000000298023224
"2014-10-05 00:00:00",-0.800000011920929
"2014-10-13 00:00:00",-0.30000001192092896
"2014-10-21 00:00:00",-0.4000000059604645
