DateTime,Daily News Sentiment
11/3/2017 0:00,-0.1
11/28/2017 0:00,-0.1
11/29/2017 0:00,-0.6
12/5/2017 0:00,-0.7
12/6/2017 0:00,-0.2
12/12/2017 0:00,-0.1
1/10/2018 0:00,-0.3
1/11/2018 0:00,-0.3
1/18/2018 0:00,0.1
1/22/2018 0:00,-0.4
1/23/2018 0:00,0.1
1/30/2018 0:00,-0.2
2/2/2018 0:00,-0.44
2/5/2018 0:00,-0.4
2/6/2018 0:00,-0.7
2/12/2018 0:00,-0.4
2/28/2018 0:00,-0.3
3/1/2018 0:00,-0.47
3/2/2018 0:00,-0.2
3/5/2018 0:00,-0.3
3/7/2018 0:00,-0.7
3/8/2018 0:00,-0.3
3/29/2018 0:00,-0.3
3/30/2018 0:00,-0.43
4/3/2018 0:00,-0.1
4/12/2018 0:00,-0.1
4/13/2018 0:00,-0.4
4/20/2018 0:00,0.4
5/8/2018 0:00,-0.3
5/21/2018 0:00,-0.03
5/24/2018 0:00,0.1
5/30/2018 0:00,-0.4
6/7/2018 0:00,-0.2
6/12/2018 0:00,0.17
7/2/2018 0:00,-0.1
7/12/2018 0:00,-0.1
7/27/2018 0:00,-0.63
8/3/2018 0:00,-0.4
8/31/2018 0:00,0.1
9/7/2018 0:00,-0.1
9/10/2018 0:00,0.2
9/20/2018 0:00,0.1
9/24/2018 0:00,0.1
9/26/2018 0:00,0.1
9/28/2018 0:00,0.3
10/9/2018 0:00,-0.3
10/10/2018 0:00,0.1
10/18/2018 0:00,-0.4
10/24/2018 0:00,-0.43
10/25/2018 0:00,-0.7
10/29/2018 0:00,-0.6
11/2/2018 0:00,-0.3
11/6/2018 0:00,-0.1
11/9/2018 0:00,-0.4
11/28/2018 0:00,0.1
12/18/2018 0:00,-0.23
12/23/2018 0:00,0.4
12/25/2018 0:00,-0.8
12/26/2018 0:00,-0.43
12/31/2018 0:00,-0.3
1/7/2019 0:00,-0.6
1/10/2019 0:00,-0.2
1/12/2019 0:00,-0.2
1/15/2019 0:00,-0.3
1/22/2019 0:00,-0.5
1/30/2019 0:00,-0.1
2/1/2019 0:00,0.13
2/5/2019 0:00,0.1
2/22/2019 0:00,0.2
2/24/2019 0:00,-0.6
3/5/2019 0:00,0.2
3/6/2019 0:00,-0.1
3/8/2019 0:00,0.1
3/12/2019 0:00,0.3
3/22/2019 0:00,-0.2
3/24/2019 0:00,-0.4
3/28/2019 0:00,-0.1
3/30/2019 0:00,-0.5
4/2/2019 0:00,0.2
4/3/2019 0:00,-0.3
4/9/2019 0:00,-0.4
4/17/2019 0:00,-0.7
4/22/2019 0:00,0.2
5/2/2019 0:00,0.15
5/3/2019 0:00,-0.6
5/8/2019 0:00,-0.3
5/13/2019 0:00,-0.5
5/14/2019 0:00,0.1
5/29/2019 0:00,-0.8
5/30/2019 0:00,-0.7
6/5/2019 0:00,-0.4
6/13/2019 0:00,0.03
6/19/2019 0:00,-0.1
7/8/2019 0:00,0.1
7/14/2019 0:00,0.4
7/18/2019 0:00,-0.3
7/21/2019 0:00,-0.4
7/31/2019 0:00,-0.18
8/1/2019 0:00,0
8/2/2019 0:00,-0.16
8/4/2019 0:00,-0.3
8/7/2019 0:00,-0.5
8/17/2019 0:00,-0.4
8/19/2019 0:00,0.1
8/26/2019 0:00,-0.2
9/4/2019 0:00,0.2
9/5/2019 0:00,-0.17
9/6/2019 0:00,-0.35
9/8/2019 0:00,-0.1
9/16/2019 0:00,0.1
9/18/2019 0:00,-0.5
9/21/2019 0:00,-0.5
9/22/2019 0:00,-0.4
9/24/2019 0:00,-0.3
9/26/2019 0:00,0.1
9/28/2019 0:00,0.1
10/3/2019 0:00,-0.1
10/4/2019 0:00,-0.2
10/8/2019 0:00,0.2
10/9/2019 0:00,0.1
10/13/2019 0:00,-0.3
10/15/2019 0:00,0.3
10/16/2019 0:00,-0.1
10/21/2019 0:00,-0.6
10/22/2019 0:00,-0.05
10/23/2019 0:00,-0.2
10/24/2019 0:00,-0.67
10/25/2019 0:00,-0.6
10/27/2019 0:00,-0.3
10/28/2019 0:00,-0.2
10/30/2019 0:00,-0.5
10/31/2019 0:00,-0.2
11/1/2019 0:00,0.5
11/12/2019 0:00,-0.3
12/10/2019 0:00,-0.4
12/11/2019 0:00,-0.7
12/12/2019 0:00,-0.6
12/15/2019 0:00,-0.1
12/16/2019 0:00,-0.6
12/30/2019 0:00,0.2
1/3/2020 0:00,-0.37
1/6/2020 0:00,-0.45
1/8/2020 0:00,0.1
1/16/2020 0:00,-0.5
1/17/2020 0:00,0.1
1/20/2020 0:00,-0.2
1/31/2020 0:00,-0.47
2/3/2020 0:00,-0.7
2/4/2020 0:00,0.6
2/10/2020 0:00,-0.2
2/11/2020 0:00,-0.7
2/12/2020 0:00,-0.3
2/13/2020 0:00,-0.2
3/5/2020 0:00,-0.07
3/23/2020 0:00,0.1
4/7/2020 0:00,-0.07
4/8/2020 0:00,-0.1
4/13/2020 0:00,-0.3
4/19/2020 0:00,-0.1
4/22/2020 0:00,0.1
5/1/2020 0:00,-0.15
5/27/2020 0:00,-0.7
6/8/2020 0:00,0.1
6/9/2020 0:00,-0.3
6/11/2020 0:00,-0.24
7/12/2020 0:00,-0.6
7/17/2020 0:00,-0.2
7/20/2020 0:00,-0.7
7/31/2020 0:00,-0.8
8/1/2020 0:00,-0.6
8/4/2020 0:00,-0.17
8/21/2020 0:00,-0.4
8/24/2020 0:00,-0.3
8/25/2020 0:00,-0.4
8/26/2020 0:00,-0.2
8/27/2020 0:00,-0.2
9/2/2020 0:00,-0.03
10/25/2020 0:00,-0.17
11/4/2020 0:00,-0.1
11/9/2020 0:00,-0.15
11/10/2020 0:00,-0.58
11/18/2020 0:00,-0.2
11/19/2020 0:00,0.1
11/25/2020 0:00,-0.2
11/26/2020 0:00,0.2
11/27/2020 0:00,-0.2
12/1/2020 0:00,-0.46
12/2/2020 0:00,-0.2
12/8/2020 0:00,-0.03
12/9/2020 0:00,-0.6
12/10/2020 0:00,-0.1
12/11/2020 0:00,0.1
12/15/2020 0:00,-0.2
12/16/2020 0:00,-0.3
12/21/2020 0:00,-0.5
12/22/2020 0:00,0.1
12/30/2020 0:00,-0.1
1/1/2021 0:00,-0.4
1/6/2021 0:00,0.1
