date,futures_settle,futures_prev_day_open_interest,crude_usd_per_barrel,phillips_66,bp_plc,valero_energy_corporation,chevron_corporation,occidental_petroleum_corporation,marathon_oil_corporation,pioneer_natural_resources_company,conocophillips,exxon_mobil_corporation,marathon_petroleum_corporation,dow_jones_transportation_average,dow_jones_composite_average,s&p_500,dow_jones_industrial_average,dow_jones_utility_average,workplaces,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,Value_ger_walk,Value_ger_drive,Value_ger_trans,Value_ind_walk,Value_ind_drive,Value_rus_walk,Value_rus_drive,Value_us_walk,Value_us_drive,Value_us_trans,Value_jap_walk,Value_jap_drive,Value_jap_trans,d_f_chevron,d_f_drilling,d_f_exxon,d_f_fossil_fuel,d_f_marathon_oil,d_f_occidental_petroleum,d_f_oil,d_f_oilfield,d_f_phillips_66,d_f_pipeline,d_f_valero,d_g_chevron,d_g_drilling,d_g_exxon,d_g_fossil_fuel,d_g_oil,d_g_oilfield,d_g_pipeline,d_g_valero,i_f_airline,i_f_carbon_footprint,i_f_emissions,i_f_epa,i_f_greenhouse,i_f_hurricane_storm,i_f_pollution,i_f_sanction,i_f_solar,i_f_turbine,i_f_vacation,i_g_airline,i_g_carbon_footprint,i_g_emissions,i_g_epa,i_g_greenhouse,i_g_hurricane_storm,i_g_pollution,i_g_sanction,i_g_solar,i_g_turbine,i_g_vacation
2020-02-18,52.05,85385.0,52.1,88.0,36.09,82.52,110.24,41.56,10.3,135.56,58.3,59.88,56.47,10865.58,9661.41,3370.29,29232.19,960.89,-0.006305170239596469,-0.2116591928251121,-1.3771532184950137,1.3457446808510638,2.4400417101147034,5.466076696165191,114.3464705882353,106.93117647058823,177.75833333333335,111.13666666666668,110.88166666666666,121.025,112.4125,102.60980392156864,110.11358490566036,104.15116279069773,132.84468085106386,115.33255319148931,116.53276595744678,0.10000000149011612,0.2499999925494194,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,-0.5,0.0,-0.30000001192092896,-0.1526315796532129,0.0,-0.550000011920929,0.0,-0.15000000223517418,0.0,-0.2000000054637591,-0.2000000054637591,-0.10000000149011612,0.0,0.0,-0.6500000059604645,0.0,0.0,0.0,-0.4666666731238365,-0.10000000149011612,-0.10000000149011612,-0.5499999970197678,-0.20000000298023224,0.0,-0.5000000149011612,-0.427272730930285,-0.1750000063329935,0.0,-0.11428571385996684
2020-02-19,53.29,49517.0,53.31,88.36,36.25,83.23,110.74,42.51,10.47,141.17,59.26,60.34,57.69,10943.24,9680.12,3386.15,29348.03,950.01,1.001656314699793,2.2228994340444057,0.6395563770794824,0.34545454545454546,2.6346153846153846,8.153166421207656,107.9317647058823,109.15000000000002,156.1277777777778,113.44666666666667,112.695,121.1125,113.6975,105.91058823529413,111.88037735849052,103.91372093023256,133.79255319148942,116.54404255319149,117.30404255319151,0.0,0.0,0.0,-0.45000001788139343,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,-0.04999999888241291,0.0,-0.2000000054637591,-0.19047619615282327,0.0,-0.20000000298023224,0.0,-0.2000000074505806,0.0,-0.05000000447034837,-0.05000000447034837,-0.30000001192092896,0.0,-0.04999999701976776,-0.3600000083446503,-0.20000000298023224,0.0,0.699999988079071,-0.36000000312924385,0.0,0.0,0.0,-0.36666667213042575,0.0,-0.2250000052154064,-0.12000000476837155,-0.35000000397364306,0.0,-0.19999999925494194
2020-02-20,53.78,18474.0,53.77,90.19,35.98,84.17,109.81,42.97,10.25,142.53,58.88,59.86,60.26,11032.96,9679.08,3373.23,29219.98,952.4,-0.38744769874476986,0.19247404844290653,-0.16757000903342367,1.9222577209797649,2.0982599795291708,-1.3008474576271187,115.45088235294115,105.87029411764708,155.9755555555556,109.05,114.625,124.4,118.47,110.24549019607844,116.82735849056604,104.53348837209305,138.8527659574468,120.65021276595749,121.28851063829788,0.0,0.10000000149011612,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000521540643,0.0,0.0,0.0,0.0,-0.4000000059604645,-0.03333333424395985,0.0,-0.25000000558793545,0.0,-0.20000000298023224,0.0,-0.29999999329447746,-0.29999999329447746,0.0,0.0,0.10000000149011612,-0.550000011920929,0.10000000149011612,0.0,0.0,-0.4000000096857548,0.30000001192092896,0.30000001192092896,0.5,-0.3500000089406967,0.0,-0.20000000447034835,-0.36666667461395264,0.033333333830038704,0.0,-0.6000000238418579
2020-02-21,53.38,415564.0,53.36,89.25,35.36,82.9,109.01,42.12,10.11,142.25,58.44,59.13,59.13,10908.94,9602.49,3337.75,28992.41,948.74,0.5471621069824418,2.7863829787234042,-1.6326618088298328,1.082046332046332,3.656007751937985,6.725381414701803,123.59029411764703,117.39647058823532,157.67166666666668,120.485,121.40666666666668,131.1425,130.4325,144.04705882352943,139.7833962264151,117.64255813953484,163.18425531914897,150.92829787234038,146.30936170212763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000447034837,0.0,0.0,-0.022222224209043715,0.0,-0.2000000054637591,0.0,-0.12000000327825547,0.0,-0.4000000059604645,-0.4000000059604645,0.0,0.0,0.0,-0.4000000059604645,-0.100000003973643,0.0,0.0,-0.3750000074505806,0.0,0.0,0.0,0.0,0.0,-0.2750000059604645,-0.2200000002980232,0.0,0.0,0.1999999905625979
2020-02-24,51.43,407589.0,51.36,86.56,34.06,78.1,104.71,39.48,9.46,135.97,56.38,56.36,55.87,10509.92,9296.87,3225.89,27960.8,935.91,3.010224144710971,1.7662222222222217,0.1295029639762882,0.6412133891213391,0.9610655737704918,7.3362445414847155,113.39147058823528,99.88823529411764,146.61,108.38,110.79166666666669,93.96,100.705,100.46098039215687,106.57679245283016,101.52720930232559,146.73893617021278,122.31106382978723,122.67787234042551,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,-0.4000000059604645,0.0,-0.30000001192092896,-0.32777778307596844,0.0,-0.1714285718543189,0.0,-0.2363636398857289,0.0,0.0,0.0,0.0,0.0,-0.550000011920929,0.0,0.10000000149011612,0.0,0.0,-0.315384620657334,0.0,0.0,0.30000001192092896,-0.05000000447034837,0.0,-0.4666666661699613,-0.4333333373069763,0.0,0.0,-0.1333333378036817
2020-02-25,49.9,412024.0,49.78,82.81,32.93,74.44,100.71,36.19,8.92,130.09,53.83,54.2,53.12,10061.46,8996.46,3128.21,27081.36,915.77,1.3121434392828035,4.7372013651877145,0.8459780621572212,0.33213429256594723,2.4335736354273942,8.347692307692308,104.06882352941179,102.56588235294113,142.08277777777778,111.06666666666666,119.57833333333332,111.625,110.6125,104.59137254901957,110.2656603773585,103.52395348837211,132.59553191489357,112.69574468085106,112.30404255319151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,-0.2333333355685075,0.0,-0.10000000149011612,-0.20588235644733205,0.0,-0.3000000026077032,0.0,-0.3,0.0,-0.3000000044703484,-0.3000000044703484,-0.10000000149011612,0.0,-0.6500000059604645,0.0,0.0,0.0,0.0,-0.3235294130795142,0.0,0.0,-0.699999988079071,-0.6000000238418579,0.0,-0.27000000402331353,-0.14000000357627868,0.10000000149011612,0.0,-0.17500000074505806
2020-02-26,48.73,415400.0,48.67,80.33,32.68,71.72,98.04,34.22,8.41,125.49,51.17,53.01,52.27,9840.89,8909.77,3116.39,26957.59,906.97,1.7344953384677746,11.062866722548199,4.140044742729306,-0.6142625607779578,4.942655935613682,5.116314199395768,99.73558823529407,102.09058823529413,137.82388888888894,113.155,118.75333333333332,116.23,112.42,105.26823529411764,112.56509433962265,101.84883720930232,128.1421276595745,111.56765957446812,109.09936170212768,-0.699999988079071,0.4000000059604645,0.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,-0.3000000007450581,0.14000000506639482,0.0,0.0,-0.3076923117041588,0.0,-0.2625000048428774,0.0,-0.383333341528972,0.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.0,-0.30000001192092896,-0.20000000670552254,-0.15000000223517418,0.0,0.20000000298023224,-0.3000000026077032,-0.20000000298023224,-0.20000000298023224,0.0,0.05000000074505806,0.0,-0.3000000026077032,-0.4375000083819032,-0.18000000566244126,0.30000001192092896,-0.10000000149011612
2020-02-27,47.09,418249.0,47.17,74.26,31.53,66.19,94.13,31.81,7.93,122.67,47.13,49.82,47.93,9484.44,8530.18,2978.76,25766.64,865.47,0.660056657223796,10.388680815647108,3.7782204515272246,-0.14394580863674852,6.108891108891107,10.587278106508878,101.49823529411766,108.36294117647058,140.69166666666666,108.90666666666664,116.195,119.3525,115.5575,113.00117647058826,118.922641509434,104.8167441860465,120.4910638297873,105.84787234042557,103.08680851063828,0.0,0.13333333532015482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.699999988079071,-0.20000000298023224,0.0,0.1714285739830562,0.0,0.30000001192092896,-0.3933333391944567,0.0,-0.4666666785875957,0.0,-0.4333333323399226,0.0,-0.10000000149011612,-0.10000000149011612,0.0,0.0,-0.20000000298023224,0.0,-0.14000000208616256,0.0,-0.20000000298023224,-0.3200000082453092,0.0,0.0,-0.30000001192092896,-0.09999999403953552,-0.20000000298023224,-0.20000000049670533,-0.15000000409781933,-0.2249999903142452,0.0,-0.2000000085681677
2020-02-28,44.76,427227.0,44.83,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42,9388.19,8394.63,2954.22,25409.36,839.96,2.4504283965728275,10.96107544141252,5.6231884057971016,-1.3491666666666666,7.732758620689657,12.349794238683126,118.99029411764708,113.10911764705885,151.835,120.67833333333333,128.27833333333334,116.9825,119.5525,146.34862745098042,142.53226415094338,116.51906976744185,124.65425531914892,115.07638297872336,110.08148936170211,-0.5,0.0,0.0,-0.699999988079071,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,-0.30000001192092896,-0.200000007947286,0.0,-0.3500000089406967,-0.26250000298023224,0.0,-0.1333333378036817,0.0,-0.2714285807950156,0.0,0.10000000149011612,0.10000000149011612,0.0,-0.20000000298023224,0.0,-0.26666667064030963,0.15000000223517418,0.0,0.0,-0.3280000060796738,0.0,0.0,-0.5,0.0,-0.20000000298023224,-0.32500000298023224,-0.3000000044703484,0.14999999850988388,0.0,-0.3500000014901161
2020-03-02,46.75,430959.0,46.78,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42,9475.68,8746.05,3090.23,26703.32,886.52,3.766770670826834,10.73330515638208,6.039947322212467,-0.7693023255813953,3.424742268041237,12.423831070889895,102.01735294117644,100.8076470588235,139.07777777777778,106.48,105.41166666666668,112.98,105.875,102.36764705882351,108.37320754716986,100.8232558139535,137.67468085106387,110.24765957446812,109.33234042553192,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,-0.1250000037252903,0.0,0.0,-0.017391305902729862,-0.8000000119209291,0.0,0.0,-0.13333334028720856,0.0,0.20000000298023224,0.20000000298023224,0.0,0.0,-0.20000000298023224,-0.4000000059604645,0.10000000149011612,0.0,0.0,-0.18500000499188896,0.0,0.0,-0.10000000149011612,0.10000000149011612,-0.10000000149011612,-0.3714285769632885,-0.06666667014360428,-0.10000000149011612,-0.20000000298023224,-0.20000000298023224
