Date,Value_PHILLIPS 66,Value_BP P.L.C.,Value_VALERO ENERGY CORPORATION,Value_CHEVRON CORPORATION,Value_OCCIDENTAL PETROLEUM CORPORATION,Value_MARATHON OIL CORPORATION,Value_PIONEER NATURAL RESOURCES COMPANY,Value_CONOCOPHILLIPS,Value_EXXON MOBIL CORPORATION,Value_MARATHON PETROLEUM CORPORATION
2019-10-23,109.0,39.06,93.85,117.98,42.92,12.01,130.6,56.25,69.75,65.87
2019-10-24,110.63,39.21,96.91,117.58,42.29,11.94,129.27,56.16,69.09,66.35
2019-10-25,114.42,39.35,99.27,118.67,42.53,11.98,129.83,56.35,69.25,68.01
2019-10-28,117.25,39.24,100.07,118.48,42.28,11.94,125.55,55.68,68.64,67.58
2019-10-29,118.96,37.93,100.82,118.13,42.33,12.01,127.12,57.09,68.44,68.02
2019-10-30,116.45,38.46,98.81,116.36,41.36,11.56,122.55,55.04,67.72,66.19
2019-10-31,116.82,37.91,96.98,116.14,40.5,11.53,123.02,55.2,67.57,63.95
2019-11-01,118.4,38.7,99.86,116.21,42.29,12.05,127.56,57.15,69.6,66.47
2019-11-04,118.54,39.36,101.24,121.57,44.23,12.52,136.06,58.0,71.67,67.94
2019-11-05,118.92,39.83,101.09,121.94,41.91,12.64,135.86,58.51,73.09,66.44
2019-11-06,118.42,39.4,100.35,119.9,39.61,12.18,133.57,57.63,71.49,64.28
2019-11-07,119.57,39.32,101.4,121.89,39.03,12.56,136.57,59.54,73.01,66.25
2019-11-08,119.7,39.19,100.86,120.93,40.1,12.53,134.99,59.16,70.77,66.23
2019-11-11,118.41,39.15,100.68,120.81,38.88,12.16,133.64,58.91,70.34,65.71
2019-11-12,118.1,39.13,100.48,120.96,38.44,12.01,136.13,58.23,69.37,64.9
2019-11-13,118.43,39.21,100.25,122.28,38.12,11.87,133.5,57.56,68.8,64.25
2019-11-14,119.44,38.98,100.82,121.96,37.76,11.89,132.37,57.25,68.5,64.45
2019-11-15,118.36,39.21,100.61,120.64,38.95,12.1,134.28,58.25,69.19,64.69
2019-11-18,118.65,39.06,101.06,118.55,39.3,11.78,133.2,56.7,68.52,64.54
2019-11-19,117.42,38.65,97.62,116.45,38.14,11.46,129.62,57.17,67.82,61.85
2019-11-20,116.06,38.51,97.19,117.34,38.48,11.69,130.47,59.36,68.03,61.8
2019-11-21,118.37,38.59,98.41,118.77,39.12,11.89,130.74,60.21,69.67,63.24
2019-11-22,116.63,38.55,97.51,118.63,39.58,12.2,129.56,59.9,69.37,62.36
2019-11-25,115.42,38.63,97.35,118.38,39.93,12.11,131.08,61.05,68.91,62.43
2019-11-26,114.33,38.12,97.44,117.79,38.57,11.83,127.68,60.11,68.74,61.67
2019-11-27,114.69,37.76,97.1,118.07,38.75,11.88,130.18,60.34,68.7,61.47
2019-11-29,114.72,37.42,95.49,117.13,38.57,11.65,127.84,59.94,68.13,60.64
2019-12-02,114.33,37.31,95.6,116.8,38.68,11.96,126.78,60.37,68.42,60.87
2019-12-03,112.75,36.82,93.89,115.89,38.02,11.76,123.49,58.89,67.88,60.03
2019-12-04,112.57,37.06,93.21,116.94,38.45,12.17,130.51,60.63,68.65,60.03
2019-12-05,112.54,36.65,92.99,116.33,37.98,12.04,128.31,59.84,68.41,59.85
2019-12-06,113.56,37.09,93.61,118.01,39.01,12.45,133.9,61.97,69.51,60.2
2019-12-09,111.96,37.1,92.52,117.3,37.34,12.59,133.19,61.83,69.66,58.43
2019-12-10,111.93,37.01,94.57,117.89,37.57,12.59,134.55,61.76,69.06,58.67
2019-12-11,112.21,36.56,92.89,116.23,37.54,12.61,136.19,61.68,68.96,57.11
2019-12-12,113.73,36.96,94.53,118.81,38.25,13.03,139.55,62.59,70.34,59.0
2019-12-13,112.99,36.94,93.81,117.96,37.71,12.72,139.99,62.7,69.23,58.61
2019-12-16,114.14,37.44,95.14,119.36,38.32,13.13,143.37,62.82,70.0,60.75
2019-12-17,113.03,37.59,95.68,118.6,38.32,13.37,144.03,63.52,69.68,61.21
2019-12-18,113.04,37.65,94.51,118.55,38.67,13.42,145.87,63.2,69.87,60.91
2019-12-19,112.81,37.65,94.59,118.13,38.7,13.18,147.21,63.19,69.39,61.13
2019-12-20,113.35,37.85,95.27,119.68,39.01,13.21,147.6,63.72,69.94,61.61
2019-12-23,112.67,38.11,95.24,120.33,39.71,13.56,150.93,64.6,70.29,60.66
2019-12-24,113.2,38.04,95.1,120.34,39.89,13.62,151.8,64.67,70.02,60.97
2019-12-26,112.06,37.98,94.42,120.6,40.15,13.69,152.08,65.0,70.13,60.47
2019-12-27,110.6,37.86,93.2,120.3,40.16,13.48,151.78,64.98,69.89,60.38
2019-12-30,110.37,37.6,92.88,119.85,40.7,13.42,150.87,64.61,69.48,59.67
2019-12-31,111.41,37.74,93.65,120.51,41.21,13.58,151.37,65.03,69.78,60.25
2020-01-02,112.2,38.14,95.13,121.43,42.58,13.68,152.34,65.46,70.9,61.91
2020-01-03,108.49,38.83,91.52,121.01,43.61,13.75,153.35,65.7,70.33,58.23
2020-01-06,107.81,39.85,91.53,120.6,45.05,13.96,158.11,66.48,70.87,58.22
2020-01-07,108.14,39.43,92.73,119.06,45.27,13.79,156.95,66.48,70.29,59.14
2020-01-08,104.1,38.83,93.09,117.7,44.98,13.28,152.08,64.94,69.23,58.52
2020-01-09,105.62,38.96,95.18,117.51,45.37,13.45,152.23,66.07,69.76,59.39
2020-01-10,104.87,38.74,96.89,116.44,45.9,13.18,149.4,65.42,69.14,60.22
2020-01-13,105.3,38.8,96.25,116.66,46.57,13.19,146.78,65.13,69.8,59.62
2020-01-14,106.38,38.82,95.4,116.3,47.24,13.28,146.78,65.14,69.2,59.84
2020-01-15,104.89,38.71,92.26,116.13,47.26,13.24,145.4,65.0,69.09,58.13
2020-01-16,103.79,38.84,91.98,116.89,46.67,13.34,146.99,65.07,68.82,57.53
2020-01-17,103.31,38.77,91.22,115.58,45.83,13.21,148.79,65.07,68.56,56.89
2020-01-21,102.34,38.32,90.25,113.31,44.32,12.85,147.35,64.03,67.58,56.18
2020-01-22,101.86,37.88,89.62,112.9,43.29,12.45,144.63,63.01,67.19,55.97
2020-01-23,102.08,38.2,89.51,113.1,42.52,12.22,140.43,63.14,66.77,55.33
2020-01-24,100.32,38.13,89.26,111.85,42.22,11.93,142.03,62.62,66.32,54.49
2020-01-27,96.92,37.44,85.05,110.39,41.24,11.69,135.39,61.04,64.74,52.7
2020-01-28,96.69,37.41,85.95,111.12,41.2,11.77,140.97,61.18,64.65,52.93
2020-01-29,95.8,37.17,86.46,110.37,40.47,11.75,138.92,60.49,64.11,53.59
2020-01-30,96.41,37.03,88.19,111.4,40.59,11.86,137.53,60.89,64.79,54.35
2020-01-31,91.37,36.13,84.31,107.14,39.72,11.37,135.0,59.43,62.12,54.5
2020-02-03,88.97,35.23,80.25,106.28,40.08,11.47,132.57,59.18,60.73,52.06
2020-02-04,88.72,36.5,81.24,106.85,40.5,11.77,135.9,56.49,59.97,53.39
2020-02-05,92.64,37.67,83.78,110.28,42.12,12.16,142.19,58.78,62.73,55.54
2020-02-06,90.22,36.88,83.27,109.49,42.12,11.92,140.44,58.41,61.88,55.46
2020-02-07,90.33,36.37,84.04,108.94,41.89,11.68,137.82,57.99,61.47,54.69
2020-02-10,90.26,36.19,84.37,109.79,40.5,11.38,136.75,57.87,59.96,55.07
2020-02-11,90.27,36.55,84.24,111.21,41.17,11.57,136.13,58.71,60.53,56.76
2020-02-12,91.14,37.17,85.04,112.04,42.49,11.61,137.61,59.76,61.27,58.93
2020-02-13,90.34,36.18,83.7,111.66,42.04,11.11,140.04,58.82,60.93,59.5
2020-02-14,89.47,36.0,82.64,110.08,41.6,10.64,139.23,58.62,60.65,58.33
2020-02-18,88.0,36.09,82.52,110.24,41.56,10.3,135.56,58.3,59.88,56.47
2020-02-19,88.36,36.25,83.23,110.74,42.51,10.47,141.17,59.26,60.34,57.69
2020-02-20,90.19,35.98,84.17,109.81,42.97,10.25,142.53,58.88,59.86,60.26
2020-02-21,89.25,35.36,82.9,109.01,42.12,10.11,142.25,58.44,59.13,59.13
2020-02-24,86.56,34.06,78.1,104.71,39.48,9.46,135.97,56.38,56.36,55.87
2020-02-25,82.81,32.93,74.44,100.71,36.19,8.92,130.09,53.83,54.2,53.12
2020-02-26,80.33,32.68,71.72,98.04,34.22,8.41,125.49,51.17,53.01,52.27
2020-02-27,74.26,31.53,66.19,94.13,31.81,7.93,122.67,47.13,49.82,47.93
2020-02-28,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42
2020-02-29,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42
2020-03-01,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42
2020-03-02,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42
2020-03-03,75.11,32.23,67.87,96.59,32.95,8.34,124.32,49.23,53.88,47.73
2020-03-04,72.86,31.92,64.44,94.39,32.99,8.08,120.03,48.12,51.3,45.17
2020-03-05,74.63,33.14,64.15,98.53,32.93,8.11,123.5,49.43,52.42,45.88
2020-03-06,71.98,32.6,61.7,97.19,31.48,7.8,118.61,47.7,50.11,41.21
2020-03-07,69.3,31.25,63.09,95.32,26.86,6.83,105.12,45.33,47.69,39.15
2020-03-08,69.3,31.25,63.09,95.32,26.86,6.83,105.12,45.33,47.69,39.15
2020-03-09,61.99,24.77,60.57,81.53,15.5,4.08,70.4,33.3,40.88,32.0
2020-03-11,63.36,26.79,60.45,84.98,14.34,4.4,79.86,34.88,43.41,34.52
2020-03-16,54.36,22.17,49.9,83.42,14.26,4.53,70.68,31.38,38.12,24.92
2020-03-17,48.27,18.84,41.63,69.7,12.02,4.0,59.72,26.08,34.49,20.29
2020-03-19,45.39,17.07,36.95,56.62,10.48,3.82,59.15,25.45,33.37,16.61
2020-03-20,48.77,17.28,38.83,59.89,10.1,3.5,62.27,27.95,32.83,18.68
2020-03-21,48.35,17.39,38.66,59.39,10.23,3.56,61.76,26.84,32.74,18.95
2020-03-22,48.35,17.39,38.66,59.39,10.23,3.56,61.76,26.84,32.74,18.95
2020-03-23,42.32,18.13,32.97,53.63,9.63,3.38,61.84,24.39,31.47,16.65
2020-03-29,52.32,22.35,45.04,68.78,11.61,3.52,68.65,29.25,36.95,23.15
2020-03-30,52.32,23.92,45.04,68.78,11.61,3.52,68.65,29.25,36.95,23.15
2020-03-31,55.08,24.39,48.03,71.95,11.71,3.35,69.35,29.29,38.3,25.31
2020-04-01,51.1,24.37,42.03,72.46,10.85,3.18,67.01,30.8,36.49,21.4
2020-04-02,51.11,26.03,43.02,68.56,11.46,3.21,71.58,29.62,38.63,21.86
2020-04-03,52.57,24.72,41.88,76.12,13.7,3.63,78.9,32.91,42.07,21.9
2020-04-04,51.62,24.72,40.34,75.11,13.0,3.65,74.68,32.91,39.21,20.06
2020-04-05,51.62,24.72,40.34,75.11,13.0,3.65,74.68,32.91,39.21,20.06
2020-04-16,53.53,21.85,45.0,79.99,12.2,3.89,71.11,31.07,39.15,21.95
2020-04-17,59.53,23.43,51.76,87.17,13.63,4.35,76.63,35.26,43.22,25.45
2020-04-20,58.12,22.35,50.31,83.57,12.59,4.21,71.28,34.57,41.18,24.85
2020-04-21,56.8,21.64,49.45,81.64,12.34,4.24,73.47,33.19,40.96,23.72
2020-04-22,58.18,23.33,50.57,84.44,13.02,4.53,80.66,34.98,42.13,24.69
2020-04-23,59.97,23.38,52.07,86.8,13.87,4.84,79.31,36.18,43.45,25.94
2020-04-24,60.53,23.39,52.5,87.01,13.81,4.93,77.45,36.09,43.73,25.76
2020-04-27,63.49,24.31,55.57,89.71,14.15,4.85,81.86,37.15,43.94,26.45
2020-04-28,67.34,24.16,57.87,89.91,15.17,4.99,82.76,38.48,44.97,28.43
2020-04-29,73.5,25.43,66.28,94.62,16.78,5.85,89.8,42.21,47.46,33.04
2020-04-30,73.17,23.8,63.35,92.0,16.6,6.12,89.31,42.1,46.47,32.08
2020-05-01,66.36,22.83,58.76,89.44,15.24,5.5,82.92,39.14,43.14,29.24
2020-05-04,73.48,23.25,63.66,91.44,15.52,5.81,83.06,40.36,44.88,31.53
2020-05-05,75.2,23.87,63.02,92.89,15.32,5.53,82.48,40.92,44.83,31.14
2020-05-06,71.91,23.58,60.91,90.05,13.4,5.6,81.83,40.49,43.99,29.53
2020-05-07,73.31,24.06,61.26,92.64,13.88,5.51,87.02,42.42,44.24,30.78
2020-05-08,77.06,24.03,65.92,95.47,15.02,5.78,89.99,43.08,46.18,33.03
2020-05-11,76.67,23.5,65.57,93.37,15.03,5.75,84.44,42.27,45.74,32.7
2020-05-12,73.53,23.06,63.34,91.1,14.58,5.96,84.03,41.58,44.12,32.21
2020-05-13,71.03,22.23,59.05,88.7,13.44,5.56,79.38,39.89,41.93,31.05
2020-05-14,71.75,22.14,59.41,90.05,13.76,5.64,82.21,39.93,42.3,30.89
2020-05-15,70.93,21.82,58.78,89.16,13.82,5.61,82.86,40.87,42.0,30.3
2020-05-18,76.28,23.51,64.35,92.55,15.07,6.08,93.38,43.6,45.34,34.95
2020-05-19,75.22,22.91,64.05,89.62,14.37,5.82,89.65,42.67,43.94,34.5
2020-05-20,78.25,23.62,67.34,93.0,14.99,5.95,92.43,44.15,45.37,36.82
2020-05-21,77.09,23.38,65.73,92.04,14.25,5.94,92.93,43.72,44.56,35.69
2020-05-22,76.46,22.98,65.68,90.28,14.13,5.89,92.42,43.28,44.6,35.57
2020-05-26,78.97,23.26,68.7,93.3,14.4,6.03,93.72,43.67,45.91,36.83
2020-05-27,81.73,23.93,70.18,93.9,14.42,6.15,94.19,44.67,46.24,36.58
2020-05-28,78.56,23.26,67.13,90.87,13.64,5.7,92.54,43.01,45.04,35.18
2020-05-29,78.26,23.14,66.64,91.7,12.95,5.34,91.6,42.18,45.47,35.14
2020-06-01,78.83,23.84,66.58,92.79,13.81,5.69,92.91,43.39,46.28,36.5
2020-06-02,81.57,24.95,68.19,94.69,14.75,5.86,96.16,44.2,47.31,37.72
2020-06-03,83.73,25.9,70.54,97.18,15.45,5.95,100.77,45.12,49.24,38.59
2020-06-04,83.13,25.69,70.05,96.28,15.55,6.23,103.55,44.71,49.1,38.04
2020-06-05,87.4,27.71,74.64,100.81,20.79,7.32,110.89,48.59,53.08,41.56
2020-06-08,89.73,28.38,75.62,103.24,24.4,8.43,116.78,50.31,54.74,42.21
2020-06-09,85.67,27.34,71.27,101.53,23.18,7.66,108.53,48.63,53.52,40.41
2020-06-10,84.33,26.38,69.05,97.58,20.76,7.11,102.73,45.91,50.65,39.19
2020-06-11,75.0,24.07,60.68,89.37,17.41,6.26,96.64,42.12,46.18,35.33
2020-06-12,77.26,24.75,63.79,92.39,18.5,6.58,98.23,43.73,47.17,36.62
2020-06-15,75.6,24.36,63.59,91.23,19.05,6.6,95.55,43.35,47.14,37.84
2020-06-16,77.04,24.55,66.16,94.03,20.29,6.74,97.06,45.11,48.2,38.64
2020-06-17,72.88,23.7,62.32,91.54,19.04,6.37,94.24,44.02,46.63,37.13
2020-06-18,76.24,23.69,64.63,91.94,19.67,6.49,94.54,44.45,46.92,38.47
2020-06-19,74.7,23.67,63.16,90.63,19.71,6.36,93.58,43.7,45.98,38.19
2020-06-22,74.4,23.87,62.66,91.59,19.91,6.27,95.1,43.56,46.42,38.61
2020-06-23,74.7,24.17,62.65,91.44,19.79,6.33,96.76,43.81,46.7,38.8
2020-06-24,69.99,23.14,58.02,87.64,18.0,5.79,92.16,40.99,44.5,36.23
2020-06-25,70.07,23.5,57.28,89.21,18.54,5.98,97.7,42.06,45.17,36.69
2020-06-26,68.07,22.76,56.32,86.46,17.69,5.74,94.11,40.35,43.62,35.37
2020-06-29,68.66,23.48,56.95,87.67,17.86,5.96,94.44,41.3,44.32,35.4
2020-06-30,71.9,23.32,58.82,89.23,18.3,6.12,97.7,42.02,44.72,37.38
2020-07-01,69.11,23.21,56.44,87.62,17.41,5.95,95.5,40.74,43.71,35.68
2020-07-02,68.42,23.41,56.34,88.31,17.78,6.12,96.8,41.78,44.08,36.07
2020-07-06,68.09,23.64,56.47,88.57,18.18,5.86,98.72,41.63,44.39,36.36
2020-07-07,64.61,23.02,53.12,86.31,17.15,5.57,96.07,40.64,43.24,34.69
2020-07-08,63.98,23.16,52.98,86.35,17.28,5.67,96.59,41.04,43.14,34.15
2020-07-09,58.98,22.05,50.22,82.74,16.28,5.27,91.48,38.35,41.36,33.35
2020-07-10,61.06,22.46,53.65,85.23,16.71,5.35,92.44,39.69,42.65,36.2
2020-07-13,60.27,22.46,53.23,85.4,16.16,5.13,91.0,39.66,42.66,35.31
2020-07-14,61.96,23.28,54.4,88.35,16.68,5.37,95.66,41.31,44.07,36.2
2020-07-15,65.46,23.81,57.23,88.89,17.18,5.69,96.59,41.62,44.63,37.57
2020-07-16,64.87,23.72,56.58,88.36,17.01,5.72,96.82,41.59,44.28,37.39
2020-07-17,63.84,23.25,55.47,87.19,16.28,5.51,96.52,39.96,43.52,37.93
2020-07-20,62.33,22.94,54.33,85.27,15.69,5.49,96.91,39.33,42.5,36.75
2020-07-21,66.42,24.09,57.58,91.39,17.41,5.86,102.72,41.66,44.65,38.54
2020-07-22,65.25,23.45,57.07,91.04,16.95,5.79,102.51,40.89,43.61,38.73
2020-07-23,65.18,23.22,57.67,91.01,16.82,5.76,100.66,40.46,43.7,38.88
2020-07-24,65.06,22.93,57.98,90.13,16.74,5.72,99.68,40.28,43.43,38.7
2020-07-27,64.59,23.14,58.03,91.04,16.7,5.63,98.52,39.77,44.07,38.52
2020-07-28,63.58,22.82,56.89,89.11,16.35,5.53,96.55,38.96,43.55,38.12
2020-07-29,65.58,23.22,59.69,90.07,17.03,5.74,98.54,39.94,44.03,39.91
2020-07-30,63.09,22.44,56.33,86.27,15.77,5.51,95.85,37.64,41.87,38.08
2020-07-31,62.02,22.04,56.23,83.94,15.74,5.49,96.92,37.39,42.08,38.2
2020-08-03,61.12,22.09,53.91,84.81,15.25,5.52,97.84,36.71,42.25,38.57
2020-08-04,61.85,23.74,53.02,86.49,15.74,5.78,99.52,37.64,43.47,37.69
2020-08-05,61.96,23.95,51.62,87.2,15.94,5.98,102.65,38.02,43.85,36.43
2020-08-06,60.97,23.26,51.48,87.47,15.45,5.68,102.36,38.05,43.64,35.73
2020-08-07,62.87,22.98,52.66,86.8,15.45,5.74,104.28,38.3,43.44,36.67
2020-08-10,64.87,23.5,53.55,89.73,16.48,6.04,108.99,39.64,44.51,37.13
2020-08-11,64.11,23.81,53.65,89.62,15.16,5.94,106.56,39.71,44.97,36.95
2020-08-12,64.41,24.26,55.12,90.72,14.92,5.98,110.5,41.66,44.09,38.13
2020-08-13,62.63,23.45,53.19,89.82,14.6,5.89,109.94,40.63,43.01,37.26
2020-08-14,63.66,22.99,54.46,90.35,14.64,6.05,110.73,40.82,43.2,38.35
2020-08-17,62.36,22.75,55.6,90.77,13.91,5.92,108.61,40.7,42.64,38.65
2020-08-18,61.31,22.36,54.74,87.63,13.95,5.95,107.7,40.33,42.43,37.24
2020-08-19,61.42,22.24,54.26,86.39,13.82,5.73,104.77,39.65,41.96,37.18
2020-08-20,60.97,21.96,52.7,84.81,13.4,5.51,102.67,38.77,41.32,35.62
2020-08-21,60.97,21.46,52.62,85.08,13.16,5.27,102.11,38.16,41.01,35.4
2020-08-24,63.65,21.91,54.99,87.2,13.62,5.45,104.75,38.87,42.22,36.81
2020-08-25,61.63,21.62,54.25,86.13,13.51,5.49,106.92,38.85,40.88,36.45
2020-08-26,60.03,21.38,53.7,84.78,12.96,5.3,104.41,37.56,40.01,35.33
2020-08-27,60.26,21.14,53.44,84.91,13.04,5.36,105.38,38.15,39.74,34.98
2020-08-28,61.79,21.38,54.89,85.63,13.13,5.39,105.6,38.38,40.69,37.09
2020-08-31,58.47,20.93,52.59,83.93,12.74,5.28,103.93,37.89,39.94,35.46
2020-09-01,58.79,20.77,52.47,83.08,12.48,5.32,102.98,37.16,39.43,34.97
2020-09-02,60.05,20.57,52.91,83.19,12.4,5.12,100.92,36.38,39.19,35.01
2020-09-03,59.69,20.61,52.33,82.28,12.59,4.99,98.38,35.99,39.11,34.26
2020-09-04,58.98,20.54,51.22,81.93,12.25,4.93,99.1,35.86,39.08,33.64
2020-09-08,57.96,20.15,48.73,78.97,11.06,4.5,94.36,34.06,38.18,32.33
2020-09-09,57.87,20.32,47.75,80.03,11.07,4.54,96.6,34.46,37.95,31.77
2020-09-10,55.36,19.91,45.63,78.15,10.19,4.36,91.45,32.92,37.0,30.27
2020-09-11,57.07,20.06,46.39,77.69,10.22,4.47,92.07,33.11,36.9,31.25
2020-09-14,58.37,19.84,47.51,77.29,10.17,4.4,93.35,33.52,36.66,32.02
2020-09-15,58.05,19.66,46.56,76.35,10.71,4.34,94.63,33.8,36.27,31.09
2020-09-16,60.51,19.96,49.1,78.56,11.64,4.56,97.55,35.08,37.81,32.36
2020-09-17,60.35,19.56,49.0,78.79,11.86,4.68,97.08,36.09,37.8,32.12
2020-09-18,59.82,18.88,48.71,78.21,11.65,4.82,95.78,35.87,37.19,32.28
2020-09-21,55.92,18.32,47.36,76.3,11.29,4.56,91.92,34.36,36.43,31.25
2020-09-22,55.36,18.48,47.42,75.53,11.08,4.47,92.52,34.3,35.53,31.04
2020-09-23,52.63,17.97,44.51,71.95,10.41,4.21,86.9,32.92,34.39,28.73
2020-09-24,52.85,17.93,44.58,71.8,10.64,4.31,86.56,33.6,34.32,28.62
2020-09-25,52.88,17.86,43.92,71.83,10.22,4.14,85.9,33.7,34.64,28.63
2020-09-28,53.98,18.18,44.82,73.93,10.34,4.29,88.31,33.71,35.31,29.95
2020-09-29,52.19,17.67,43.41,71.9,9.99,4.16,86.4,32.46,34.28,29.43
2020-09-30,51.84,17.46,43.32,72.0,10.01,4.09,85.99,32.84,34.33,29.34
2020-10-01,50.28,16.83,40.28,70.42,9.68,3.95,84.57,32.43,33.13,27.71
2020-10-02,51.06,16.85,40.73,71.19,9.87,4.12,86.54,33.07,32.98,28.27
2020-10-05,52.55,17.19,43.07,72.7,10.51,4.23,89.32,34.28,33.74,29.24
2020-10-06,51.06,16.93,42.33,72.3,10.13,4.04,88.03,33.3,33.39,28.83
2020-10-07,51.93,17.03,42.35,73.78,10.28,4.13,88.94,34.33,33.5,29.21
2020-10-08,53.64,17.49,44.36,75.22,11.18,4.38,89.48,35.53,35.26,31.12
2020-10-09,53.04,17.36,43.64,74.0,10.82,4.26,88.07,35.13,34.74,30.12
2020-10-12,53.46,17.24,43.09,74.51,10.81,4.29,88.68,35.59,34.63,30.49
2020-10-13,51.27,16.68,41.43,73.4,10.52,4.23,88.15,34.88,34.22,29.38
2020-10-14,52.08,16.59,41.71,72.95,10.45,4.2,90.09,34.53,34.15,29.91
2020-10-15,52.51,16.44,41.56,73.51,10.61,4.27,92.22,35.4,34.45,30.54
2020-10-16,50.58,16.25,40.22,72.89,10.09,4.07,90.26,33.77,34.1,29.37
2020-10-19,48.95,16.03,39.29,71.28,9.82,3.98,87.05,32.7,33.42,28.25
2020-10-20,49.59,16.15,40.7,71.68,10.07,4.15,83.53,32.58,33.7,29.24
2020-10-21,48.72,15.83,40.54,70.87,9.66,4.1,78.44,30.64,33.16,28.82
2020-10-22,50.01,16.1,41.28,73.4,10.17,4.37,83.0,31.91,34.86,29.51
2020-10-23,50.48,16.05,41.97,72.57,10.02,4.44,85.54,32.54,34.16,29.89
2020-10-26,48.14,15.8,39.54,70.94,9.46,4.13,82.8,30.32,33.35,28.6
2020-10-27,47.07,15.38,38.26,69.51,9.27,4.13,83.78,30.26,32.82,28.19
2020-10-28,44.22,14.9,36.19,66.88,8.88,3.85,80.33,28.79,31.57,27.5
2020-10-29,45.98,15.26,37.53,68.8,9.13,3.99,81.42,29.16,32.97,28.83
2020-10-30,46.66,15.48,38.61,69.5,9.13,3.96,79.56,28.62,32.62,29.5
2020-11-02,47.96,16.1,39.9,72.15,9.65,4.15,82.8,30.23,33.99,31.3
2020-11-03,47.52,16.18,39.48,71.74,9.69,4.14,82.2,29.31,33.41,31.91
2020-11-04,47.92,16.13,38.97,71.77,9.81,4.27,83.5,30.38,33.23,31.7
2020-11-05,48.19,15.83,39.53,72.14,10.47,4.29,79.58,30.12,33.17,31.83
2020-11-06,46.68,15.64,38.17,71.15,10.01,4.13,77.34,29.19,32.78,31.58
2020-11-09,57.03,18.08,50.08,79.4,12.23,5.09,88.37,33.38,36.93,36.47
2020-11-10,58.14,19.1,49.96,83.07,12.38,5.07,91.75,35.53,36.86,37.64
2020-11-11,58.98,18.88,49.79,82.46,11.9,5.07,90.64,35.28,36.48,37.19
2020-11-12,54.85,18.28,47.28,80.67,11.31,4.82,86.27,34.01,35.23,34.7
2020-11-13,58.76,18.8,50.92,83.03,11.8,5.06,90.67,35.36,36.08,37.56
2020-11-16,62.62,19.76,55.67,88.96,12.7,5.48,94.71,38.08,38.16,40.73
2020-11-17,64.34,20.05,54.15,87.04,12.99,5.5,95.91,38.85,38.67,40.61
2020-11-18,60.75,19.56,51.25,84.28,12.87,5.49,94.61,39.18,37.21,38.54
2020-11-19,61.45,19.53,51.21,85.73,13.36,5.69,96.63,39.47,37.4,39.08
2020-11-20,61.59,19.49,50.82,85.79,13.49,5.6,95.81,39.65,36.94,38.26
2020-11-23,65.84,20.41,56.09,91.03,15.76,6.17,104.5,42.71,39.36,41.22
2020-11-24,67.72,21.86,58.49,95.62,16.78,6.45,111.35,44.41,41.98,42.45
2020-11-25,66.26,21.41,56.43,92.14,16.72,6.43,109.96,43.63,40.81,41.48
2020-11-27,65.23,21.1,56.62,91.31,16.56,6.35,110.07,42.78,40.19,41.42
2020-11-30,60.58,19.56,53.77,87.18,15.76,5.92,100.58,39.56,38.13,38.88
2020-12-01,61.88,20.24,54.4,87.45,15.13,5.86,99.8,39.27,38.5,39.45
2020-12-02,64.43,21.07,58.07,89.87,15.89,6.06,101.53,39.97,39.94,40.58
2020-12-03,65.02,21.36,57.91,89.8,16.39,6.19,105.35,41.2,40.21,40.99
2020-12-04,69.32,22.27,61.27,93.28,18.59,6.85,114.06,44.27,41.68,42.91
2020-12-07,67.05,21.68,59.46,90.76,18.19,6.69,110.28,42.82,40.9,42.21
2020-12-08,67.39,21.79,58.98,91.54,19.13,7.07,114.27,42.68,42.24,42.45
2020-12-09,68.77,21.9,58.8,90.44,19.39,7.15,114.43,42.7,42.8,42.64
2020-12-10,70.86,22.41,59.87,93.35,21.31,7.3,118.79,44.0,44.01,43.83
2020-12-11,69.51,22.03,59.03,92.45,20.89,7.06,115.57,43.48,43.8,42.91
2020-12-14,67.19,21.36,56.39,89.44,19.17,6.72,113.11,42.32,42.22,40.76
2020-12-15,68.25,21.94,57.48,89.37,19.84,6.91,117.44,42.8,43.04,42.25
2020-12-16,67.29,21.83,56.92,88.69,19.45,6.97,116.89,42.32,43.7,41.65
2020-12-17,67.17,21.9,56.34,88.41,19.18,6.91,114.38,41.97,43.48,40.58
2020-12-18,66.85,21.74,54.77,87.19,18.52,6.73,114.36,40.98,42.73,40.35
2020-12-21,66.49,20.68,54.05,86.09,17.47,6.55,110.89,40.24,41.95,39.75
2020-12-22,67.51,20.48,53.7,84.36,16.92,6.31,108.44,39.03,41.24,39.67
2020-12-23,69.36,21.21,55.79,85.69,17.89,6.81,113.12,40.08,41.77,41.31
2020-12-24,68.73,21.06,55.68,85.33,17.67,6.63,112.49,39.49,41.6,41.21
2020-12-28,69.33,20.99,55.09,84.9,17.4,6.63,110.65,39.3,41.74,40.78
2020-12-29,68.38,21.07,55.45,84.61,17.24,6.57,110.64,39.07,41.27,40.73
