Date,Value
2020-01-13,100.0
2020-01-14,101.68558139534883
2020-01-15,103.4018604651163
2020-01-16,105.8755813953488
2020-01-17,116.46104651162788
2020-01-18,120.4274418604651
2020-01-19,95.21779069767443
2020-01-20,99.53779069767438
2020-01-21,101.81860465116277
2020-01-22,100.95244186046511
2020-01-23,102.52779069767443
2020-01-24,111.89686046511635
2020-01-25,117.58860465116284
2020-01-26,93.24999999999999
2020-01-27,100.59906976744185
2020-01-28,101.35406976744184
2020-01-29,101.58453488372092
2020-01-30,105.01406976744187
2020-01-31,118.74279069767444
2020-02-01,124.67209302325587
2020-02-02,98.03058139534885
2020-02-03,104.80965116279069
2020-02-04,107.69348837209301
2020-02-05,106.45255813953489
2020-02-06,105.45325581395345
2020-02-07,120.18918604651164
2020-02-08,129.4012790697674
2020-02-09,93.00930232558136
2020-02-10,98.53302325581396
2020-02-11,105.68313953488372
2020-02-12,107.408023255814
2020-02-13,109.38186046511626
2020-02-14,127.7259302325581
2020-02-15,136.2163953488372
2020-02-16,103.49802325581393
2020-02-17,128.43662790697672
2020-02-18,124.68709302325585
2020-02-19,118.50093023255812
2020-02-20,120.14511627906974
2020-02-21,128.27488372093026
2020-02-22,134.54430232558138
2020-02-23,101.37627906976749
2020-02-24,115.00569767441858
2020-02-25,111.4310465116279
2020-02-26,108.63860465116281
2020-02-27,112.41546511627904
2020-02-28,123.53965116279073
2020-02-29,130.16918604651167
2020-03-01,106.49534883720935
2020-03-02,109.29593023255816
2020-03-03,111.35046511627904
2020-03-04,109.79116279069767
2020-03-05,111.01174418604651
2020-03-06,121.65674418604652
2020-03-07,131.2673255813953
2020-03-08,104.0625581395349
2020-03-09,105.6772093023256
2020-03-10,104.54639534883718
2020-03-11,102.34546511627909
2020-03-12,93.95
2020-03-13,89.09499999999998
2020-03-14,87.6146511627907
2020-03-15,73.11627906976744
2020-03-16,71.03593023255816
2020-03-17,63.552441860465116
2020-03-18,58.4293023255814
2020-03-19,52.76220930232557
2020-03-20,46.89686046511628
2020-03-21,36.30906976744186
2020-03-22,40.09232558139536
2020-03-23,43.46011627906978
2020-03-24,44.095581395348844
2020-03-25,44.66395348837208
2020-03-26,45.75279069767441
2020-03-27,48.928604651162786
2020-03-28,49.11744186046511
2020-03-29,37.864767441860494
2020-03-30,46.23232558139536
2020-03-31,49.68162790697674
2020-04-01,50.446627906976744
2020-04-02,50.77
2020-04-03,47.87046511627908
2020-04-04,49.937906976744195
2020-04-05,60.97488372093024
2020-04-06,60.06988372093022
2020-04-07,61.17418604651164
2020-04-08,62.1610465116279
2020-04-09,59.790465116279044
2020-04-10,58.878720930232554
2020-04-11,55.6268604651163
2020-04-12,53.31639534883719
2020-04-13,52.03313953488372
2020-04-14,57.20697674418606
2020-04-15,61.985465116279094
2020-04-16,64.80790697674418
2020-04-17,63.955116279069784
2020-04-18,60.668139534883714
2020-04-19,66.48069767441865
2020-04-20,65.87953488372094
2020-04-21,65.70976744186048
2020-04-22,67.29313953488372
2020-04-23,68.85267441860466
2020-04-24,65.26290697674419
2020-04-25,64.23616279069766
2020-04-26,71.09755813953488
2020-04-27,68.8756976744186
2020-04-28,64.18662790697675
2020-04-29,64.81453488372097
2020-04-30,64.24872093023254
2020-05-01,59.345
2020-05-02,61.118720930232556
2020-05-03,71.83976744186047
2020-05-04,71.9232558139535
2020-05-05,74.68534883720932
2020-05-06,76.73034883720932
2020-05-07,79.50953488372096
2020-05-08,82.64302325581396
2020-05-09,78.98790697674423
2020-05-10,71.92872093023254
2020-05-11,71.49956521739132
2020-05-12,54.054347826086946
2020-05-13,78.79290697674418
2020-05-14,81.83337209302327
2020-05-15,85.7547674418605
2020-05-16,87.04069767441858
2020-05-17,88.78267441860463
2020-05-18,92.47732558139533
2020-05-19,94.67127906976742
2020-05-20,98.59093023255814
2020-05-21,105.3970930232558
2020-05-22,98.94813953488371
2020-05-23,88.21941860465112
2020-05-24,88.05488372093028
2020-05-25,97.37720930232558
2020-05-26,100.39976744186043
2020-05-27,102.72639534883723
2020-05-28,106.84965116279065
2020-05-29,117.00348837209306
2020-05-30,117.6703488372093
2020-05-31,108.98674418604648
2020-06-01,127.73930232558143
2020-06-02,120.21674418604653
2020-06-03,112.74081395348838
2020-06-04,106.87476744186048
2020-06-05,110.52662790697671
2020-06-06,114.72860465116277
2020-06-07,104.32639534883725
2020-06-08,112.8274418604651
2020-06-09,113.11895348837211
2020-06-10,115.25244186046508
2020-06-11,119.52825581395354
2020-06-12,137.29116279069765
2020-06-13,120.31953488372096
2020-06-14,107.84895348837213
2020-06-15,115.58651162790692
2020-06-16,116.97918604651161
2020-06-17,117.0282558139535
2020-06-18,118.96837209302326
2020-06-19,126.35151162790699
2020-06-20,129.10930232558138
2020-06-21,120.24162790697675
2020-06-22,123.2212790697674
2020-06-23,129.04581395348833
2020-06-24,128.2998837209302
2020-06-25,129.92290697674417
2020-06-26,139.5320930232558
2020-06-27,133.0075581395349
2020-06-28,118.55023255813951
2020-06-29,126.96488372093029
2020-06-30,131.211511627907
2020-07-01,131.89767441860468
2020-07-02,132.7303488372093
2020-07-03,146.84604651162797
2020-07-04,146.23720930232557
2020-07-05,128.79593023255816
2020-07-06,134.24651162790695
2020-07-07,137.57197674418603
2020-07-08,133.86860465116277
2020-07-09,136.87337209302325
2020-07-10,146.59279069767442
2020-07-11,153.27337209302326
2020-07-12,139.52209302325582
2020-07-13,143.6604651162791
2020-07-14,141.59255813953487
2020-07-15,142.9253488372093
2020-07-16,143.7324418604652
2020-07-17,158.46755813953487
