Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2017-10-20,83.11,0.0,0.0
2017-10-23,83.24,0.0,0.0
2017-10-24,83.47,0.0,0.0
2017-10-25,83.17,0.0,0.0
2017-10-26,83.47,0.0,0.0
2017-10-27,83.71,-0.35,0.0
2017-10-30,83.54,0.0,0.0
2017-10-31,83.35,0.0,-0.6
2017-11-01,83.87,0.0,-0.2
2017-11-02,83.53,0.0,0.0
2017-11-03,83.18,0.0,-0.1
2017-11-06,83.75,0.0,0.0
2017-11-07,83.58,0.0,0.0
2017-11-08,83.47,0.0,0.0
2017-11-09,83.97,0.0,0.0
2017-11-10,82.94,0.0,0.0
2017-11-13,82.89,0.0,0.0
2017-11-14,82.24,0.0,0.0
2017-11-15,81.21,0.1,0.0
2017-11-16,80.56,0.0,0.0
2017-11-17,80.24,0.0,0.0
2017-11-20,80.55,0.0,0.0
2017-11-21,80.87,0.0,0.0
2017-11-22,81.1,0.0,0.0
2017-11-24,81.42,0.0,0.0
2017-11-27,81.11,0.0,0.0
2017-11-28,81.67,0.0,-0.1
2017-11-29,82.27,0.0,-0.6
2017-11-30,83.29,0.0,0.0
2017-12-01,83.46,0.0,0.0
2017-12-04,83.57,0.0,0.0
2017-12-05,82.89,0.0,-0.7
2017-12-06,82.28,0.0,-0.2
2017-12-07,82.55,0.0,0.0
2017-12-08,82.66,-0.3,0.0
2017-12-11,83.03,0.0,0.0
2017-12-12,82.76,0.0,-0.1
2017-12-13,83.12,0.0,0.0
2017-12-14,82.9,0.0,0.0
2017-12-15,83.03,0.0,0.0
2017-12-18,82.94,0.0,0.0
2017-12-19,82.44,-0.1,0.0
2017-12-20,82.87,0.0,0.0
2017-12-21,83.85,0.0,0.0
2017-12-22,83.97,0.0,0.0
2017-12-26,83.98,0.0,0.0
2017-12-27,83.9,0.0,0.0
2017-12-28,84.02,0.1,0.0
2017-12-29,83.64,0.0,0.0
2018-01-02,85.03,0.0,0.0
2018-01-03,86.7,0.0,0.0
2018-01-04,86.82,0.0,0.0
2018-01-05,86.75,0.0,0.0
2018-01-08,87.14,0.1,0.0
2018-01-09,86.77,0.0,0.0
2018-01-10,86.08,0.0,-0.3
2018-01-11,86.93,0.0,-0.3
2018-01-12,87.52,0.0,0.0
2018-01-16,86.97,0.0,0.0
2018-01-17,88.0,0.0,0.0
2018-01-18,87.43,0.0,0.1
2018-01-19,87.15,0.0,0.0
2018-01-22,88.25,0.0,-0.4
2018-01-23,88.3,0.0,0.1
2018-01-24,88.53,0.0,0.0
2018-01-25,88.37,0.0,0.0
2018-01-26,89.0,0.0,0.0
2018-01-29,88.01,0.0,0.0
2018-01-30,86.78,0.0,-0.2
2018-01-31,87.3,0.0,0.0
2018-02-01,89.07,0.0,0.0
2018-02-02,84.53,-0.33,-0.44
2018-02-05,79.72,-0.27,-0.4
2018-02-06,78.35,0.0,-0.7
2018-02-07,76.94,-0.4,0.0
2018-02-08,76.07,0.0,0.0
2018-02-09,75.78,0.0,0.0
2018-02-12,76.42,0.0,-0.4
2018-02-13,76.3,0.0,0.0
2018-02-14,76.46,0.0,0.0
2018-02-15,76.21,0.0,0.0
2018-02-16,76.54,0.0,0.0
2018-02-20,75.75,0.0,0.0
2018-02-21,74.89,0.0,0.0
2018-02-22,75.86,0.0,0.0
2018-02-23,77.53,0.0,0.0
2018-02-26,78.84,0.0,0.0
2018-02-27,77.5,0.0,0.0
2018-02-28,75.74,0.0,-0.3
2018-03-01,75.2,0.0,-0.47
2018-03-02,75.55,0.0,-0.2
2018-03-05,76.27,0.0,-0.3
2018-03-06,76.18,-0.8,0.0
2018-03-07,74.26,0.0,-0.7
2018-03-08,74.12,0.0,-0.3
2018-03-09,74.56,0.0,0.0
2018-03-12,75.24,0.0,0.0
2018-03-13,74.53,0.0,0.0
2018-03-14,73.6,0.0,0.0
2018-03-15,74.42,-0.4,0.0
2018-03-16,75.12,-0.1,0.0
2018-03-19,74.15,0.0,0.0
