Date,Value_ger_walk,Value_ger_drive,Value_ger_trans,Value_ind_walk,Value_ind_drive,Value_rus_walk,Value_rus_drive,Value_us_walk,Value_us_drive,Value_us_trans,Value_jap_walk,Value_jap_drive,Value_jap_trans
2020-01-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-01-14,103.18382352941177,100.8241176470588,100.48277777777776,98.03666666666668,97.01833333333333,103.6425,100.56,101.94078431372549,103.00754716981132,99.7279069767442,100.74574468085106,99.2723404255319,100.25851063829782
2020-01-15,106.45647058823528,102.26470588235294,99.78,100.05999999999999,96.38166666666667,102.9575,101.9925,101.75235294117647,104.36452830188676,98.9632558139535,104.02319148936168,100.09659574468085,101.18744680851064
2020-01-16,109.98411764705881,104.64588235294117,100.43777777777778,101.96666666666665,101.23333333333333,108.3575,104.21749999999999,102.25137254901962,107.98584905660377,99.50186046511628,114.93382978723403,104.99361702127655,108.54638297872347
2020-01-17,123.21117647058821,114.01029411764705,108.33999999999999,110.88833333333332,115.58999999999999,110.8375,108.71000000000001,121.80078431372546,122.74886792452828,105.78581395348841,152.47872340425533,130.3544680851064,133.49553191489363
2020-01-18,139.3164705882353,107.58029411764704,109.015,127.35166666666667,130.17833333333334,110.61500000000001,101.76750000000001,131.8729411764706,115.2715094339623,97.13023255813953,163.11489361702127,138.07893617021273,138.2112765957447
2020-01-19,87.97676470588236,98.80529411764707,102.11888888888888,114.91666666666667,120.34500000000001,97.135,97.775,96.1709803921569,93.0203773584906,82.33162790697676,108.10702127659575,104.3904255319149,105.16638297872342
2020-01-20,99.54352941176471,99.23999999999998,100.08944444444445,108.63,109.99833333333333,108.6975,104.3,98.05078431372547,104.94773584905661,95.92232558139534,106.78446808510638,100.98276595744684,102.66276595744678
2020-01-21,102.05558823529412,101.97794117647058,101.07,109.86999999999999,105.40500000000002,106.60499999999999,106.6375,99.58176470588238,102.94716981132076,101.20348837209302,107.86659574468088,101.04063829787236,102.69000000000001
2020-01-22,101.44147058823532,101.39205882352941,99.19833333333332,107.925,108.28833333333334,103.4625,105.86249999999998,100.02,102.06679245283019,99.61860465116278,102.67829787234042,100.25659574468087,101.65659574468084
2020-01-23,103.885,102.38382352941173,100.23611111111111,105.75166666666667,106.59166666666668,103.63999999999999,105.5275,102.56882352941174,107.13320754716979,100.88767441860469,112.31999999999998,103.7576595744681,106.0712765957447
2020-01-24,117.28499999999997,109.63970588235293,105.9827777777778,114.70333333333333,118.00666666666666,114.4075,111.6525,130.3170588235294,125.31169811320756,109.95395348837208,157.26680851063833,135.55468085106384,136.76617021276596
2020-01-25,134.14235294117645,105.14911764705884,109.81722222222223,132.22666666666666,129.74833333333333,110.15,104.36,142.5311764705882,123.95150943396226,102.2181395348837,164.28106382978726,139.05425531914895,140.03340425531917
2020-01-26,86.25382352941178,97.30941176470589,98.79722222222225,115.24499999999999,118.71,103.46000000000001,100.10749999999999,87.30019607843138,89.93698113207549,79.9774418604651,105.23851063829785,102.91297872340424,103.68297872340422
2020-01-27,99.53000000000002,100.59794117647057,102.62055555555555,111.85000000000001,110.80499999999999,106.77250000000001,103.80000000000001,94.55686274509803,98.10188679245285,98.13488372093022,102.04148936170212,97.89914893617019,99.56234042553194
2020-01-28,99.29735294117644,103.34117647058825,101.48555555555555,110.66166666666665,108.04833333333333,114.1225,108.14250000000001,96.06647058823528,101.42830188679245,97.54976744186045,108.40042553191485,100.36446808510641,101.61404255319148
2020-01-29,101.1505882352941,101.77941176470588,102.03611111111114,117.29166666666667,119.30333333333333,112.82,104.48750000000001,96.6405882352941,102.21792452830191,97.35116279069766,112.3051063829787,101.88553191489365,102.60978723404257
2020-01-30,107.41911764705883,104.44617647058821,101.54388888888889,114.10666666666664,118.98333333333333,108.915,106.38,102.91823529411762,108.02867924528306,100.24558139534886,112.60787234042553,101.78659574468085,103.24425531914893
2020-01-31,126.48470588235293,116.86147058823528,107.67277777777777,121.67166666666667,127.06666666666668,111.03750000000001,108.89250000000001,130.1058823529412,127.40943396226415,109.8420930232558,153.36702127659575,132.07,132.8393617021277
2020-02-01,142.2255882352941,113.47470588235294,112.66611111111112,133.21333333333334,132.78166666666667,106.51750000000001,103.1725,145.3113725490196,125.62433962264146,102.70000000000003,163.48914893617024,140.68553191489363,139.5385106382979
2020-02-02,90.62294117647059,101.465,105.53555555555553,120.00166666666667,118.55000000000001,95.45,97.2925,88.89117647058823,88.73132075471699,80.24511627906978,119.82085106382982,107.41574468085106,109.66936170212767
2020-02-03,104.99705882352939,104.37676470588235,105.27333333333334,111.96166666666666,109.66666666666667,103.215,101.665,94.20137254901964,98.6788679245283,99.2132558139535,122.0246808510638,104.52574468085106,107.37595744680851
2020-02-04,107.94117647058825,108.60705882352941,105.49999999999997,117.59666666666665,115.31833333333333,104.935,104.54500000000002,95.78999999999998,102.12924528301886,98.68790697674419,121.37085106382979,104.95638297872343,108.08936170212768
2020-02-05,109.14058823529412,106.06411764705882,102.1088888888889,111.93,110.24000000000001,102.7075,108.135,96.97372549019607,101.85207547169813,100.31953488372092,118.89914893617022,104.75978723404253,107.52851063829789
2020-02-06,109.54764705882353,103.92205882352944,100.61166666666666,118.69166666666666,116.62166666666667,99.465,107.1875,99.3250980392157,107.44433962264148,101.68069767441861,122.84340425531917,107.27617021276595,111.18978723404256
2020-02-07,127.5720588235294,117.37029411764705,111.56833333333333,129.84166666666667,133.70833333333334,100.1875,108.1475,124.77607843137257,125.3966037735849,109.34325581395349,158.12659574468086,140.6297872340425,141.07595744680853
