"DateTime","Index","Count"
"2017-08-24 00:00:00",-0.360000005364418
"2017-08-25 00:00:00",0.20000000298023224
"2017-08-26 00:00:00",-0.24000000655651094
"2017-08-27 00:00:00",-0.30000001192092896
"2017-08-28 00:00:00",-0.2888888981607225
"2017-08-29 00:00:00",-0.46666668355464935
"2017-08-30 00:00:00",-0.3500000089406967
"2017-08-31 00:00:00",0.20000000298023224
"2017-09-01 00:00:00",-0.46666667113701504,78
"2017-09-02 00:00:00",-0.033333333830038704
"2017-09-03 00:00:00",0.10000000149011612
"2017-09-05 00:00:00",-0.06666666766007741
"2017-09-06 00:00:00",-0.08000000268220901
"2017-09-07 00:00:00",-0.40000000276735853
"2017-09-08 00:00:00",-2.483526865641276e-9
"2017-09-09 00:00:00",0.05000000074505806
"2017-09-10 00:00:00",-0.10000000149011612
"2017-09-11 00:00:00",0.3500000089406967
"2017-09-12 00:00:00",-0.10000000149011612
"2017-09-13 00:00:00",-0.3999999947845936
"2017-09-14 00:00:00",0.5
"2017-09-15 00:00:00",-0.2666666731238365
"2017-09-16 00:00:00",-0.4000000059604645
"2017-09-18 00:00:00",-0.10000000397364299
"2017-09-19 00:00:00",-0.2500000037252903
"2017-09-20 00:00:00",-0.18000000566244126
"2017-09-21 00:00:00",-0.2500000074505806
"2017-09-22 00:00:00",-0.4000000059604645
"2017-09-25 00:00:00",-0.2500000037252903
"2017-09-27 00:00:00",0.10000000149011612
"2017-09-28 00:00:00",-0.14999999850988388
"2017-09-29 00:00:00",-0.6000000238418579
"2017-10-01 00:00:00",,12
"2017-10-04 00:00:00",0.10000000149011612
"2017-10-06 00:00:00",0.20000000298023224
"2017-10-08 00:00:00",-0.05000000074505806
"2017-10-10 00:00:00",-0.20000000298023224
"2017-10-12 00:00:00",-0.20000000298023224
"2017-10-13 00:00:00",-0.10000000149011612
"2017-10-16 00:00:00",-0.3000000019868215
"2017-11-01 00:00:00",,2
"2017-11-30 00:00:00",0.10000000149011612
"2017-12-01 00:00:00",,2
"2017-12-05 00:00:00",-0.5
"2018-01-01 00:00:00",,1
"2018-01-03 00:00:00",-0.6000000238418579
"2018-02-01 00:00:00",,3
"2018-02-10 00:00:00",-0.2500000074505806
"2018-04-01 00:00:00",,1
"2018-04-17 00:00:00",-0.6000000238418579
"2018-05-01 00:00:00",,4
"2018-05-08 00:00:00",-0.30000001192092896
"2018-05-31 00:00:00",0.10000000149011612
"2018-06-01 00:00:00",,6
"2018-06-04 00:00:00",0.20000000298023224
"2018-06-07 00:00:00",-0.5
"2018-06-13 00:00:00",-0.4000000059604645
"2018-07-01 00:00:00",,1
"2018-08-01 00:00:00",,6
"2018-08-23 00:00:00",0.10000000149011612
"2018-08-24 00:00:00",-0.45000001788139343
"2018-08-25 00:00:00",0.20000000298023224
"2018-08-29 00:00:00",0.30000001192092896
"2018-09-01 00:00:00",,30
"2018-09-04 00:00:00",-0.10000000149011612
"2018-09-06 00:00:00",-0.5
"2018-09-10 00:00:00",-0.30000001192092896
"2018-09-11 00:00:00",-0.15000000223517418
"2018-09-12 00:00:00",-0.1666666716337204
"2018-09-13 00:00:00",-0.13333333532015482
"2018-09-15 00:00:00",-0.10000000149011612
"2018-09-16 00:00:00",-0.4000000059604645
"2018-09-17 00:00:00",-0.5
"2018-09-18 00:00:00",-0.2500000037252903
"2018-09-20 00:00:00",-0.4000000059604645
"2018-09-24 00:00:00",-0.10000000149011612
"2018-09-25 00:00:00",-0.4000000059604645
"2018-09-30 00:00:00",-0.4000000059604645
"2018-10-01 00:00:00",,21
"2018-10-09 00:00:00",0.10000000149011612
"2018-10-10 00:00:00",-0.10000000298023223
"2018-10-11 00:00:00",0.20000000298023224
"2018-10-12 00:00:00",-0.30000001192092896
"2018-10-16 00:00:00",-0.30000001192092896
"2018-10-17 00:00:00",-0.16666666915019354
"2018-10-18 00:00:00",-0.20000000298023224
"2018-11-01 00:00:00",,3
"2018-11-15 00:00:00",-0.20000000298023224
"2018-11-20 00:00:00",-0.30000001192092896
"2018-12-01 00:00:00",,2
"2018-12-13 00:00:00",0.10000000149011612
"2018-12-26 00:00:00",-0.10000000149011612
"2019-04-01 00:00:00",,1
"2019-04-05 00:00:00",-0.20000000298023224
"2019-05-01 00:00:00",,5
"2019-05-21 00:00:00",-0.30000001192092896
"2019-05-24 00:00:00",0.10000000149011612
"2019-05-31 00:00:00",-0.20000000298023224
"2019-06-01 00:00:00",,5
"2019-06-05 00:00:00",-0.4000000059604645
"2019-06-12 00:00:00",-0.10000000521540642
"2019-06-13 00:00:00",-0.10000000149011612
"2019-07-01 00:00:00",,10
"2019-07-11 00:00:00",-0.550000011920929
"2019-07-12 00:00:00",-0.2500000074505806
"2019-07-13 00:00:00",-0.2500000037252903
"2019-07-19 00:00:00",-0.4000000059604645
"2019-07-23 00:00:00",-0.30000001192092896
"2019-08-01 00:00:00",,16
"2019-08-09 00:00:00",-0.10000000149011612
"2019-08-20 00:00:00",-0.30000001192092896
"2019-08-28 00:00:00",-0.20000000298023224
"2019-08-29 00:00:00",0.10000000149011612
"2019-08-30 00:00:00",-0.10000000149011612
"2019-08-31 00:00:00",-0.20000000298023224
"2019-09-01 00:00:00",-0.15000000223517418,32
"2019-09-02 00:00:00",-0.10000000149011612
"2019-09-03 00:00:00",-0.34000000804662706
"2019-09-04 00:00:00",-0.15000000223517418
"2019-09-05 00:00:00",-0.5
"2019-09-06 00:00:00",-0.20000000298023224
"2019-09-09 00:00:00",-0.30000001192092896
"2019-09-10 00:00:00",-0.30000001192092896
"2019-09-11 00:00:00",-0.699999988079071
"2019-09-18 00:00:00",-0.20000000298023224
"2019-09-21 00:00:00",-0.5
"2019-09-30 00:00:00",-0.4000000059604645
"2019-10-01 00:00:00",,4
"2019-10-17 00:00:00",-0.4000000059604645
"2019-11-01 00:00:00",,4
"2019-11-04 00:00:00",-0.10000000149011612
"2019-11-30 00:00:00",0.10000000149011612
"2020-01-01 00:00:00",,2
"2020-01-05 00:00:00",-0.30000001192092896
"2020-01-17 00:00:00",-0.10000000149011612
"2020-02-01 00:00:00",,4
"2020-02-11 00:00:00",-0.10000000149011612
"2020-02-23 00:00:00",0.10000000149011612
"2020-02-28 00:00:00",-0.20000000298023224
"2020-04-01 00:00:00",,2
"2020-05-01 00:00:00",,10
"2020-05-13 00:00:00",-0.20000000298023224
"2020-05-14 00:00:00",0.20000000298023224
"2020-05-17 00:00:00",-0.10000000149011612
"2020-05-20 00:00:00",-0.10000000149011612
"2020-06-01 00:00:00",,2
"2020-06-02 00:00:00",-0.10000000149011612
"2020-06-03 00:00:00",-0.20000000298023224
"2020-07-01 00:00:00",,7
"2020-07-24 00:00:00",-0.10000000149011612
"2020-07-26 00:00:00",-0.4000000059604645
"2020-07-28 00:00:00",-0.20000000298023224
"2020-07-31 00:00:00",-0.10000000149011612
"2020-08-01 00:00:00",-0.10000000149011612,66
"2020-08-03 00:00:00",-0.2750000078231096
"2020-08-04 00:00:00",-0.10000000149011612
"2020-08-05 00:00:00",-0.30000000447034836
"2020-08-06 00:00:00",-0.4000000059604645
"2020-08-14 00:00:00",-0.5
"2020-08-17 00:00:00",-0.5
"2020-08-18 00:00:00",-0.4000000059604645
"2020-08-22 00:00:00",-0.3500000014901161
"2020-08-23 00:00:00",-0.20000000298023224
"2020-08-24 00:00:00",0.10000000521540642
"2020-08-25 00:00:00",-0.14285714498588017
"2020-08-26 00:00:00",-0.3250000011175871
"2020-08-27 00:00:00",-0.2000000074505806
"2020-08-28 00:00:00",-0.3166666713853677
"2020-08-29 00:00:00",-0.29999999950329465
"2020-08-30 00:00:00",-0.20000000298023224
"2020-08-31 00:00:00",-0.4000000059604645
"2020-09-01 00:00:00",0.10000000149011612,22
"2020-09-03 00:00:00",-0.4000000059604645
"2020-09-14 00:00:00",-0.10000000149011612
"2020-09-16 00:00:00",-0.1333333378036817
"2020-09-17 00:00:00",-0.15000000223517418
"2020-09-18 00:00:00",-0.20000000298023224
"2020-09-21 00:00:00",-0.27142857760190964
"2020-09-24 00:00:00",-0.10000000149011612
"2020-09-28 00:00:00",-0.10000000149011612
"2020-10-01 00:00:00",,30
"2020-10-07 00:00:00",-0.4000000059604645
"2020-10-08 00:00:00",-0.5
"2020-10-10 00:00:00",-0.6000000238418579
"2020-10-12 00:00:00",-0.20000000298023224
"2020-10-13 00:00:00",-0.10000000149011612
"2020-10-25 00:00:00",-0.23750000167638063
"2020-10-28 00:00:00",-0.20000000298023224
"2020-11-01 00:00:00",,27
"2020-11-04 00:00:00",-0.4000000134110451
"2020-11-08 00:00:00",-0.30000000695387524
"2020-11-09 00:00:00",-0.2000000054637591
"2020-11-11 00:00:00",-0.10000000149011612
"2020-11-17 00:00:00",-0.30000001192092896
"2020-11-18 00:00:00",-0.4000000109275182
"2020-11-19 00:00:00",-0.30000001192092896
"2020-12-01 00:00:00",,9
"2020-12-03 00:00:00",-0.10000000149011612
"2020-12-04 00:00:00",0.10000000149011612
"2020-12-12 00:00:00",-0.4000000059604645
"2020-12-24 00:00:00",-0.20000000298023224
"2020-12-28 00:00:00",-0.20000000298023224
"2021-01-01 00:00:00",,6
"2021-01-02 00:00:00",0.10000000149011612
"2021-01-15 00:00:00",-0.10000000149011612
"2021-01-23 00:00:00",0.4000000059604645
"2021-01-28 00:00:00",-0.10000000149011612
"2021-01-31 00:00:00",-0.10000000149011612
"2021-02-01 00:00:00",,2
"2021-02-21 00:00:00",-0.6000000238418579
"2021-02-22 00:00:00",-0.6000000238418579
"2021-03-01 00:00:00",,2
"2021-03-18 00:00:00",-0.2500000037252903
