date,dow_jones_composite_average,dow_jones_transportation_average,dow_jones_utility_average,dow_jones_industrial_average,s&p_500
2017-03-24,7116.6,8928.78,705.95,20596.72,2343.98
2017-03-27,7103.24,8935.11,702.45,20550.98,2341.59
2017-03-28,7169.15,9096.83,703.36,20701.5,2358.57
2017-03-29,7150.48,9075.39,699.88,20659.32,2361.13
2017-03-30,7172.4,9151.6,695.07,20728.49,2368.06
2017-03-31,7155.82,9116.51,697.28,20663.22,2362.72
2017-04-03,7147.09,9086.24,697.51,20650.21,2358.84
2017-04-04,7161.79,9100.67,699.89,20689.24,2360.16
2017-04-05,7159.99,9095.98,704.17,20648.15,2352.95
2017-04-06,7169.26,9134.17,703.03,20662.95,2357.49
2017-04-07,7155.14,9104.81,699.22,20656.1,2355.54
2017-04-10,7173.79,9178.7,700.52,20658.02,2357.16
2017-04-11,7162.8,9135.58,700.34,20651.3,2353.78
2017-04-12,7124.03,8971.84,705.35,20591.86,2344.93
2017-04-13,7072.31,8874.56,703.15,20453.25,2328.95
2017-04-17,7138.17,8990.42,706.17,20636.92,2349.01
2017-04-18,7106.41,8933.1,707.8,20523.28,2342.19
2017-04-19,7086.42,8976.35,703.98,20404.49,2338.17
2017-04-20,7148.11,9126.13,701.2,20578.71,2355.84
2017-04-21,7151.86,9133.81,706.01,20547.76,2348.69
2017-04-24,7231.27,9282.99,709.03,20763.89,2374.15
2017-04-25,7267.92,9249.42,708.42,20996.12,2388.61
2017-04-26,7240.61,9167.74,705.17,20975.09,2387.45
2017-04-27,7251.56,9193.99,707.58,20981.33,2388.77
2017-04-28,7217.27,9097.63,704.35,20940.51,2384.2
2017-05-01,7198.05,9070.15,699.58,20913.46,2388.33
2017-05-02,7226.88,9153.97,701.68,20949.89,2391.17
2017-05-03,7216.96,9133.14,697.54,20957.9,2388.13
2017-05-04,7219.2,9138.13,698.97,20951.47,2389.52
2017-05-05,7248.01,9189.97,703.02,21006.94,2399.29
2017-05-08,7226.55,9092.81,702.22,21012.28,2399.38
2017-05-09,7217.1,9130.28,695.93,20975.78,2396.92
2017-05-10,7199.78,9072.35,696.9,20943.11,2399.63
2017-05-11,7187.55,9037.99,696.8,20919.42,2394.44
2017-05-12,7180.94,9001.14,700.29,20896.61,2390.9
2017-05-15,7215.54,9067.23,702.48,20981.94,2402.32
2017-05-16,7205.32,9062.85,697.21,20979.75,2400.67
2017-05-17,7074.06,8783.74,698.24,20606.93,2357.03
2017-05-18,7096.64,8818.58,700.7,20663.02,2365.72
2017-05-19,7141.62,8879.19,703.27,20804.84,2381.73
2017-05-22,7187.6,8964.65,709.21,20894.83,2394.02
2017-05-23,7207.98,9009.67,710.54,20937.91,2398.42
2017-05-24,7232.89,9022.52,715.12,21012.42,2404.39
2017-05-25,7286.01,9163.84,720.3,21082.95,2415.07
2017-05-26,7288.05,9176.2,720.22,21080.28,2415.82
2017-05-30,7279.68,9163.66,722.73,21029.47,2412.91
2017-05-31,7282.22,9163.9,726.62,21008.65,2411.8
2017-06-01,7342.31,9277.44,732.06,21144.18,2430.06
2017-06-02,7367.12,9331.72,732.63,21206.29,2439.07
2017-06-05,7351.81,9307.17,729.26,21184.04,2436.1
2017-06-06,7333.48,9274.4,728.11,21136.23,2429.33
2017-06-07,7358.47,9334.58,730.87,21173.69,2433.14
2017-06-08,7349.42,9332.14,724.77,21182.53,2433.79
2017-06-09,7365.95,9327.88,724.85,21271.97,2431.77
2017-06-12,7368.92,9388.79,722.9,21235.67,2429.39
2017-06-13,7403.42,9456.65,723.94,21328.47,2440.35
2017-06-14,7406.39,9387.33,729.4,21374.56,2437.92
2017-06-15,7416.49,9409.01,734.3,21359.9,2432.46
2017-06-16,7427.7,9414.07,737.51,21384.28,2433.15
2017-06-19,7464.2,9476.63,734.44,21528.99,2453.46
2017-06-20,7414.99,9303.82,734.68,21467.14,2437.03
2017-06-21,7393.41,9292.61,729.86,21410.03,2435.61
2017-06-22,7392.82,9319.84,727.44,21397.29,2434.5
2017-06-23,7403.67,9388.67,725.27,21394.76,2438.3
2017-06-26,7427.05,9442.03,730.57,21409.55,2439.07
2017-06-27,7378.58,9383.67,720.66,21310.66,2419.38
2017-06-28,7423.27,9517.44,713.31,21454.61,2440.69
2017-06-29,7373.06,9481.44,707.39,21287.03,2419.7
2017-06-30,7402.3,9563.73,706.91,21349.63,2423.41
2017-07-03,7437.98,9639.63,703.36,21479.27,2429.01
2017-07-05,7435.08,9645.91,700.94,21478.17,2432.54
2017-07-06,7388.43,9576.16,700.44,21320.04,2409.75
2017-07-07,7435.24,9694.94,702.04,21414.34,2425.18
2017-07-10,7428.48,9673.8,701.43,21408.52,2427.43
2017-07-11,7412.07,9599.43,701.24,21409.07,2425.53
2017-07-12,7468.48,9716.32,705.49,21532.14,2443.25
2017-07-13,7466.11,9703.23,703.35,21553.09,2447.83
2017-07-14,7497.81,9742.76,707.35,21637.74,2459.27
2017-07-17,7491.19,9698.2,710.11,21629.72,2459.14
2017-07-18,7469.15,9633.05,711.78,21574.73,2460.61
2017-07-19,7474.37,9575.73,714.71,21640.75,2473.83
2017-07-20,7457.13,9483.09,719.81,21611.78,2473.45
2017-07-21,7457.91,9471.27,725.48,21580.07,2472.54
2017-07-24,7424.75,9428.2,719.02,21513.17,2469.91
2017-07-25,7452.22,9489.48,715.86,21613.43,2477.13
2017-07-26,7481.23,9484.12,722.59,21711.01,2477.83
2017-07-27,7435.44,9189.61,723.65,21796.55,2475.42
2017-07-28,7450.83,9227.07,724.06,21830.31,2472.1
2017-07-31,7457.01,9182.78,726.48,21891.12,2470.3
2017-08-01,7467.02,9145.75,728.85,21963.92,2476.35
2017-08-02,7488.68,9174.99,731.93,22016.24,2477.57
2017-08-03,7500.22,9202.4,734.11,22026.1,2472.16
2017-08-04,7525.77,9277.63,731.87,22092.81,2476.83
2017-08-07,7535.14,9284.66,733.59,22118.42,2480.91
2017-08-08,7520.96,9232.85,735.68,22085.34,2474.92
2017-08-09,7509.73,9235.41,732.89,22048.7,2474.02
2017-08-10,7447.86,9119.74,734.65,21844.01,2438.21
2017-08-11,7460.86,9199.05,730.45,21858.32,2441.32
2017-08-14,7525.8,9347.55,734.26,21993.71,2465.84
2017-08-15,7537.46,9371.07,737.55,21998.99,2464.61
2017-08-16,7547.29,9377.22,739.62,22024.87,2468.11
2017-08-17,7436.53,9152.45,734.42,21750.73,2430.01
2017-08-18,7415.96,9095.31,738.38,21674.51,2425.55
2017-08-21,7432.5,9121.93,741.41,21703.75,2428.37
2017-08-22,7490.65,9200.94,743.18,21899.89,2452.51
2017-08-23,7450.06,9086.3,744.0,21812.09,2444.04
2017-08-24,7429.05,9021.12,743.25,21783.4,2438.97
2017-08-25,7464.85,9133.75,746.48,21813.67,2443.05
2017-08-28,7471.69,9156.96,748.16,21808.4,2444.24
2017-08-29,7497.37,9237.18,746.47,21865.37,2446.3
2017-08-30,7512.88,9309.79,743.16,21892.43,2457.59
2017-08-31,7525.81,9319.05,743.24,21948.1,2471.65
2017-09-01,7537.65,9356.02,740.95,21987.56,2476.55
2017-09-05,7476.16,9267.39,742.81,21753.31,2457.85
2017-09-06,7488.76,9310.15,738.5,21807.64,2465.54
2017-09-07,7501.28,9346.03,743.91,21784.78,2465.1
2017-09-08,7517.12,9383.74,746.94,21797.79,2461.43
2017-09-11,7602.33,9483.69,754.8,22057.37,2488.11
2017-09-12,7606.18,9544.55,742.12,22118.86,2496.48
2017-09-13,7605.09,9531.05,738.71,22158.18,2498.37
2017-09-14,7619.82,9509.77,745.03,22203.48,2495.62
2017-09-15,7642.37,9546.25,746.25,22268.34,2500.23
2017-09-18,7634.98,9514.64,738.71,22331.35,2503.87
2017-09-19,7637.54,9507.08,736.69,22370.8,2506.65
2017-09-20,7669.26,9654.37,731.61,22412.59,2508.24
2017-09-21,7660.75,9668.99,730.78,22359.23,2500.6
2017-09-22,7659.64,9704.38,726.63,22349.59,2502.22
2017-09-25,7661.33,9715.1,732.4,22296.09,2496.66
2017-09-26,7671.98,9779.85,731.67,22284.32,2496.84
2017-09-27,7680.56,9841.99,722.22,22340.71,2507.04
2017-09-28,7700.81,9886.82,723.79,22381.2,2510.06
2017-09-29,7711.12,9914.35,723.6,22405.09,2519.36
2017-10-02,7742.32,9907.83,725.47,22557.6,2529.12
2017-10-03,7769.81,9973.8,723.59,22641.67,2534.58
2017-10-04,7775.87,9921.84,731.65,22661.64,2537.74
2017-10-05,7795.08,9909.42,731.62,22775.39,2552.07
2017-10-06,7789.04,9886.88,731.15,22773.67,2549.33
2017-10-09,7782.87,9864.89,731.79,22761.07,2544.73
2017-10-10,7823.06,9928.48,739.43,22830.68,2550.64
2017-10-11,7846.84,9976.66,742.46,22872.89,2555.24
2017-10-12,7858.16,10038.13,744.88,22841.01,2550.93
2017-10-13,7829.01,9936.22,737.25,22871.72,2553.17
2017-10-16,7824.29,9857.15,734.91,22956.96,2557.64
2017-10-17,7834.41,9824.14,740.57,22997.44,2559.36
2017-10-18,7880.25,9899.67,739.62,23157.6,2561.26
2017-10-19,7892.29,9886.51,747.86,23163.04,2562.1
2017-10-20,7945.24,9972.1,749.21,23328.63,2575.21
2017-10-23,7928.1,9939.39,749.55,23273.96,2564.98
2017-10-24,7962.87,9951.51,749.37,23441.76,2569.13
2017-10-25,7900.82,9790.09,746.34,23329.46,2557.15
2017-10-26,7935.04,9881.46,746.61,23400.86,2560.4
2017-10-27,7960.86,9931.65,751.62,23434.19,2581.07
2017-10-30,7917.57,9802.7,752.45,23348.74,2572.83
2017-10-31,7914.68,9758.47,753.2,23377.24,2575.26
2017-11-01,7924.23,9783.81,748.95,23435.01,2579.36
2017-11-02,7942.13,9778.33,750.97,23516.26,2579.85
2017-11-03,7945.6,9755.0,753.43,23539.19,2587.84
2017-11-06,7935.29,9731.79,749.25,23548.42,2591.13
2017-11-07,7940.15,9671.79,758.92,23557.23,2590.64
2017-11-08,7933.5,9630.77,759.59,23563.36,2594.38
2017-11-09,7888.95,9517.5,759.47,23461.94,2584.62
2017-11-10,7873.52,9501.36,756.95,23422.21,2582.3
2017-11-13,7894.91,9518.84,765.39,23439.7,2584.84
2017-11-14,7897.85,9489.18,774.47,23409.47,2578.87
2017-11-15,7848.4,9440.87,767.22,23271.28,2564.62
2017-11-16,7912.71,9593.09,764.19,23458.36,2585.64
2017-11-17,7859.07,9483.09,758.08,23358.24,2578.85
2017-11-20,7877.92,9521.95,755.96,23430.33,2582.14
2017-11-21,7932.57,9614.72,757.97,23590.83,2599.03
2017-11-22,7922.28,9626.66,757.73,23526.18,2597.08
2017-11-24,7929.28,9620.2,759.07,23557.99,2602.42
2017-11-27,7934.05,9595.23,762.54,23580.78,2601.42
2017-11-28,8024.11,9754.03,766.06,23836.71,2627.04
2017-11-29,8117.11,10076.38,767.55,23940.68,2626.07
2017-11-30,8229.31,10274.77,770.39,24272.35,2647.58
2017-12-01,8196.75,10186.63,767.16,24231.59,2642.22
2017-12-02,8354.04,10769.84,685.76,25029.2,2821.98
2017-12-03,8339.07,10758.38,686.31,25007.03,2783.02
2017-12-04,8240.32,10368.58,762.72,24290.05,2639.44
2017-12-05,8168.36,10229.03,750.62,24180.64,2629.57
2017-12-06,8164.65,10227.81,753.13,24140.91,2629.27
2017-12-07,8210.89,10361.39,755.18,24211.48,2636.98
2017-12-08,8246.83,10402.51,757.69,24329.16,2651.5
2017-12-09,8909.81,11554.08,741.96,26743.5,2915.56
2017-12-11,8259.15,10370.83,762.59,24386.03,2659.99
2017-12-12,8257.46,10367.91,748.31,24504.8,2664.11
2017-12-13,8283.5,10398.98,750.5,24585.43,2662.85
2017-12-14,8253.27,10327.95,750.57,24508.66,2652.01
2017-12-15,8299.85,10393.01,753.38,24651.74,2675.81
2017-12-18,8342.54,10522.26,745.84,24792.2,2690.16
2017-12-19,8318.12,10535.91,733.84,24754.75,2681.47
2017-12-20,8324.8,10628.74,728.98,24726.65,2679.25
2017-12-21,8319.37,10629.71,719.23,24782.29,2684.57
2017-12-22,8326.86,10674.97,721.05,24754.06,2683.34
2017-12-26,8318.08,10672.66,717.03,24746.21,2680.5
2017-12-27,8334.56,10697.21,720.41,24774.3,2682.62
2017-12-28,8344.51,10660.11,723.89,24837.51,2687.54
2017-12-29,8310.35,10612.29,723.37,24719.22,2673.61
2018-01-02,8360.91,10809.96,715.72,24824.01,2695.81
2018-01-03,8366.87,10820.74,706.52,24922.68,2713.06
2018-01-04,8393.62,10854.55,700.52,25075.13,2723.99
2018-01-05,8449.13,10911.74,700.74,25295.87,2743.15
2018-01-08,8477.39,10997.63,707.87,25283.0,2747.71
2018-01-09,8490.23,11018.46,700.98,25385.8,2751.29
2018-01-10,8476.36,11030.1,693.14,25369.13,2748.23
2018-01-11,8567.27,11284.32,690.57,25574.73,2767.56
2018-01-12,8619.67,11373.38,683.91,25803.19,2786.24
2018-01-16,8584.58,11227.31,683.19,25792.86,2776.42
2018-01-17,8661.3,11258.47,687.67,26115.65,2802.56
2018-01-18,8637.01,11262.86,683.9,26017.81,2798.03
2018-01-19,8654.82,11305.41,682.77,26071.72,2810.3
2018-01-22,8697.34,11357.59,684.86,26214.6,2832.97
2018-01-23,8705.44,11344.55,691.81,26210.81,2839.13
2018-01-24,8670.39,11184.4,687.0,26252.12,2837.54
2018-01-25,8675.0,11007.66,696.52,26392.79,2839.25
2018-01-26,8748.39,11125.75,699.1,26616.71,2872.87
2018-01-29,8698.19,11114.23,691.11,26439.48,2853.53
2018-01-30,8596.63,10965.41,691.71,26076.89,2822.43
2018-01-31,8624.77,10972.06,699.25,26149.39,2823.81
2018-02-01,8603.81,10920.06,689.24,26186.71,2821.98
2018-02-02,8416.29,10687.18,684.48,25520.96,2762.13
2018-02-05,8096.16,10350.41,672.89,24345.75,2648.94
2018-02-06,8226.93,10528.85,662.32,24912.77,2695.14
2018-02-07,8222.43,10560.59,657.76,24893.35,2681.66
2018-02-08,7918.7,10159.6,647.9,23860.46,2581.0
2018-02-09,7999.61,10136.61,661.03,24190.9,2619.55
2018-02-12,8124.88,10301.28,666.98,24601.27,2656.0
2018-02-13,8155.01,10380.71,670.08,24640.45,2662.94
2018-02-14,8212.88,10482.16,662.25,24893.49,2698.63
2018-02-15,8311.04,10556.35,675.72,25200.37,2731.2
2018-02-16,8312.01,10502.33,681.12,25219.38,2732.22
2018-02-20,8214.19,10340.6,673.21,24964.75,2716.26
2018-02-21,8174.68,10372.06,664.82,24797.78,2701.33
2018-02-22,8224.59,10428.87,668.2,24962.48,2703.96
2018-02-23,8354.04,10578.9,685.76,25309.99,2747.3
2018-02-26,8469.47,10769.84,683.73,25709.27,2779.6
2018-02-27,8338.24,10523.79,672.02,25410.03,2744.28
2018-02-28,8228.28,10381.99,668.81,25029.2,2713.83
2018-03-01,8135.78,10330.72,668.75,24608.98,2677.67
2018-03-02,8117.68,10332.98,665.85,24538.06,2691.25
2018-03-05,8206.39,10348.34,677.91,24874.76,2720.94
2018-03-06,8213.39,10435.52,669.68,24884.12,2728.12
2018-03-07,8183.38,10408.88,664.8,24801.36,2726.8
2018-03-08,8222.44,10465.63,669.88,24895.21,2738.97
2018-03-09,8371.5,10739.91,672.28,25335.74,2786.57
2018-03-12,8339.07,10706.93,675.34,25178.61,2783.02
2018-03-13,8320.97,10758.38,677.62,25007.03,2765.31
2018-03-14,8244.43,10573.48,684.72,24758.12,2749.48
2018-03-15,8269.99,10592.01,684.23,24873.66,2747.33
2018-03-16,8316.88,10683.82,691.82,24946.51,2752.01
2018-03-19,8234.61,10646.57,686.31,24610.91,2712.92
2018-03-20,8261.85,10694.31,682.94,24727.27,2716.94
2018-03-21,8239.51,10657.73,679.56,24682.31,2711.93
2018-03-22,8039.11,10353.46,683.15,23957.89,2643.69
2018-03-23,7899.6,10163.32,673.68,23533.2,2588.26
2018-03-26,8085.71,10373.21,680.17,24202.6,2658.55
2018-03-27,7993.26,10181.42,689.73,23857.71,2612.62
2018-03-28,7991.09,10188.19,688.63,23848.42,2605.0
2018-03-29,8092.53,10396.56,692.63,24103.11,2640.87
2018-04-02,7949.36,10190.57,686.98,23644.19,2581.88
2018-04-03,8072.44,10394.25,689.01,24033.36,2614.45
2018-04-04,8118.49,10388.03,690.65,24264.3,2644.69
2018-04-05,8189.09,10453.66,696.43,24505.22,2662.84
2018-04-06,8003.24,10146.37,691.59,23932.76,2604.47
2018-04-09,8007.48,10119.36,692.29,23979.1,2613.16
2018-04-10,8106.61,10228.42,687.79,24408.0,2656.87
2018-04-11,8054.73,10192.82,686.68,24189.45,2642.19
2018-04-12,8133.74,10360.41,678.16,24483.05,2663.99
2018-04-13,8119.73,10369.49,682.78,24360.14,2656.3
2018-04-16,8229.53,10610.18,692.36,24573.04,2677.84
2018-04-17,8280.21,10592.56,700.24,24786.63,2706.39
2018-04-18,8307.45,10770.15,697.82,24748.07,2708.64
2018-04-19,8268.69,10671.81,697.1,24664.89,2693.13
2018-04-20,8199.37,10578.9,691.14,24462.94,2670.14
2018-04-23,8206.17,10621.15,691.34,24448.69,2670.29
2018-04-24,8082.7,10400.1,695.41,24024.13,2634.56
2018-04-25,8117.01,10508.13,694.93,24083.83,2639.4
2018-04-26,8154.93,10413.88,702.3,24322.34,2666.94
2018-04-27,8193.09,10549.4,708.68,24311.19,2669.91
2018-04-30,8134.21,10423.57,707.01,24163.15,2648.05
2018-05-01,8111.14,10388.39,705.23,24099.05,2654.8
2018-05-02,8052.36,10285.91,703.59,23924.98,2635.67
2018-05-03,8042.09,10254.64,700.94,23930.15,2629.73
2018-05-04,8137.33,10370.23,704.38,24262.51,2663.42
2018-05-07,8147.02,10361.75,700.34,24357.32,2672.63
2018-05-08,8137.95,10445.21,683.77,24360.21,2671.92
2018-05-09,8178.2,10507.88,678.62,24542.54,2697.79
2018-05-10,8253.22,10605.79,687.88,24739.53,2723.07
2018-05-11,8297.16,10713.57,689.49,24831.17,2727.72
2018-05-14,8294.47,10663.16,686.59,24899.41,2730.13
2018-05-15,8236.0,10615.67,680.17,24706.41,2711.45
2018-05-16,8256.76,10702.54,674.05,24768.93,2722.46
2018-05-17,8245.74,10742.96,668.56,24713.98,2720.13
2018-05-18,8241.92,10730.46,667.79,24715.09,2712.97
2018-05-21,8337.96,10867.32,672.86,25013.29,2733.01
2018-05-22,8279.07,10741.62,674.72,24834.41,2724.44
2018-05-23,8296.11,10727.35,680.68,24886.81,2733.29
2018-05-24,8317.28,10852.75,685.62,24811.76,2727.76
2018-05-25,8323.08,10900.06,689.67,24753.09,2721.33
2018-05-29,8216.47,10755.33,690.07,24361.45,2689.86
2018-05-30,8319.06,10918.72,694.67,24667.78,2724.01
2018-05-31,8234.53,10750.33,695.21,24415.84,2705.27
2018-06-01,8290.68,10893.97,684.74,24635.21,2734.62
2018-06-04,8298.82,10814.04,679.45,24813.69,2746.87
2018-06-05,8278.17,10769.97,674.46,24799.98,2748.8
2018-06-06,8336.79,10838.98,660.54,25146.39,2772.35
2018-06-07,8361.96,10842.82,664.09,25241.41,2770.37
2018-06-08,8397.13,10938.47,663.96,25316.53,2779.03
2018-06-11,8411.81,11054.73,656.93,25322.31,2782.0
2018-06-12,8433.63,11088.93,665.65,25320.73,2786.85
2018-06-13,8390.05,11003.15,664.6,25201.2,2775.63
2018-06-14,8401.05,11009.49,673.3,25175.31,2782.49
2018-06-15,8407.16,11073.99,678.31,25090.48,2779.66
2018-06-18,8385.76,11049.85,680.56,24987.47,2773.75
2018-06-19,8301.96,10863.3,687.96,24700.21,2762.59
2018-06-20,8296.57,10872.93,688.38,24657.8,2767.32
2018-06-21,8252.38,10826.84,690.62,24461.7,2749.76
2018-06-22,8273.77,10773.2,696.6,24580.89,2754.88
2018-06-25,8174.29,10521.23,707.87,24252.8,2717.07
2018-06-26,8170.29,10474.96,707.94,24283.11,2723.06
2018-06-27,8114.68,10331.58,712.51,24117.59,2699.63
2018-06-28,8127.96,10307.56,712.1,24216.05,2716.31
2018-06-29,8146.05,10344.99,711.64,24271.41,2718.37
2018-07-02,8185.36,10448.2,717.64,24307.18,2726.71
2018-07-03,8145.07,10367.18,719.44,24174.82,2713.22
2018-07-05,8200.14,10426.62,723.53,24356.74,2736.61
2018-07-06,8239.5,10473.93,729.37,24456.48,2759.82
2018-07-09,8310.64,10687.66,706.93,24776.59,2784.17
2018-07-10,8342.81,10655.23,713.75,24919.66,2793.84
2018-07-11,8265.48,10442.47,720.56,24700.45,2774.02
2018-07-12,8319.66,10488.62,720.88,24924.89,2798.29
2018-07-13,8352.21,10546.41,721.87,25019.41,2801.31
2018-07-16,8335.6,10435.52,721.05,25064.36,2798.43
2018-07-17,8352.0,10463.13,720.82,25119.89,2809.55
2018-07-18,8413.79,10702.23,717.6,25199.29,2815.62
2018-07-19,8408.0,10747.65,723.96,25064.5,2804.49
2018-07-20,8395.83,10741.5,718.2,25058.12,2801.83
2018-07-23,8401.41,10813.55,713.8,25044.29,2806.98
2018-07-24,8408.85,10648.59,716.61,25241.94,2820.4
2018-07-25,8496.04,10893.29,717.07,25414.1,2846.07
2018-07-26,8551.69,10984.86,725.38,25527.07,2837.44
2018-07-27,8524.61,10957.18,721.6,25451.06,2818.82
2018-07-30,8483.8,10933.53,717.02,25306.83,2802.6
2018-07-31,8547.97,11077.1,724.24,25415.19,2816.29
2018-08-01,8501.06,10983.03,717.8,25333.82,2813.36
2018-08-02,8522.09,11055.21,721.94,25326.16,2827.22
2018-08-03,8569.12,11096.97,728.81,25462.58,2840.35
2018-08-06,8593.02,11161.35,730.17,25502.18,2850.4
2018-08-07,8625.97,11217.56,727.85,25628.91,2858.45
2018-08-08,8603.02,11174.92,724.89,25583.75,2857.7
2018-08-09,8585.47,11141.11,727.45,25509.23,2853.58
2018-08-10,8529.83,11090.63,723.51,25313.14,2833.28
2018-08-13,8491.92,11020.83,724.47,25187.7,2821.93
2018-08-14,8536.02,11114.35,725.68,25299.92,2839.96
2018-08-15,8520.47,11115.02,732.32,25162.41,2818.37
2018-08-16,8628.38,11190.43,741.02,25558.73,2840.69
2018-08-17,8662.89,11227.8,743.96,25669.32,2850.13
2018-08-20,8702.74,11361.86,740.03,25758.69,2857.05
2018-08-21,8722.38,11436.36,734.72,25822.29,2862.96
2018-08-22,8671.12,11322.24,729.14,25733.6,2861.82
2018-08-23,8642.22,11260.36,728.77,25656.98,2856.98
2018-08-24,8677.35,11284.99,731.08,25790.35,2874.69
2018-08-27,8748.99,11412.77,727.21,26049.64,2896.74
2018-08-28,8744.47,11390.58,725.71,26064.02,2897.52
2018-08-29,8764.51,11395.94,729.97,26124.57,2914.04
2018-08-30,8718.8,11309.8,729.79,25986.92,2901.13
2018-08-31,8707.55,11303.76,726.41,25964.82,2901.52
2018-09-04,8716.05,11319.49,730.9,25952.48,2896.72
2018-09-05,8749.51,11386.73,739.62,25974.99,2888.6
2018-09-06,8753.17,11367.29,741.9,25995.87,2878.05
2018-09-07,8719.62,11347.54,733.6,25916.54,2871.68
2018-09-10,8759.3,11554.08,737.53,25857.07,2877.13
2018-09-11,8774.09,11534.57,735.63,25971.06,2887.89
2018-09-12,8773.73,11512.02,735.1,25998.92,2888.92
2018-09-13,8803.01,11462.27,741.96,26145.99,2904.18
2018-09-14,8819.73,11570.84,736.88,26154.67,2904.98
2018-09-17,8784.01,11468.73,739.5,26062.12,2888.8
2018-09-18,8828.1,11514.94,738.39,26246.96,2904.31
2018-09-19,8833.13,11513.66,723.03,26405.76,2907.95
2018-09-20,8885.68,11517.38,724.76,26656.98,2930.75
2018-09-21,8909.81,11532.56,727.16,26743.5,2929.67
2018-09-24,8828.31,11370.21,720.52,26562.05,2919.37
2018-09-25,8787.45,11311.14,711.83,26492.21,2915.56
2018-09-26,8767.41,11374.66,704.04,26385.28,2905.97
2018-09-27,8790.47,11384.24,710.25,26439.93,2914.0
2018-09-28,8810.24,11379.36,720.6,26458.31,2913.98
2018-10-01,8849.79,11409.96,717.84,26651.21,2924.59
2018-10-02,8861.65,11281.08,727.36,26773.94,2923.43
2018-10-03,8871.98,11342.96,719.17,26828.39,2925.51
2018-10-04,8828.42,11296.2,722.56,26627.48,2901.61
2018-10-05,8792.59,11206.77,733.73,26447.05,2885.57
2018-10-08,8809.41,11203.9,739.56,26486.78,2884.43
2018-10-09,8759.21,10996.08,742.98,26430.57,2880.34
2018-10-10,8495.34,10550.92,739.54,25598.74,2785.68
2018-10-11,8328.92,10397.23,723.37,25052.83,2728.37
2018-10-12,8405.11,10489.29,723.61,25339.99,2767.13
2018-10-15,8406.28,10553.97,726.35,25250.55,2750.79
2018-10-16,8568.52,10744.85,734.97,25798.42,2809.92
2018-10-17,8535.07,10683.82,733.53,25706.68,2809.21
2018-10-18,8413.1,10404.24,734.83,25379.45,2768.78
2018-10-19,8452.3,10438.81,746.3,25444.34,2767.78
2018-10-22,8419.82,10435.76,742.02,25317.41,2755.88
2018-10-23,8344.0,10237.02,737.04,25191.43,2740.69
2018-10-24,8181.6,9905.13,753.65,24583.42,2656.1
2018-10-25,8281.23,10091.81,742.37,24984.55,2705.57
2018-10-26,8175.23,9965.67,729.72,24688.31,2658.69
2018-10-29,8129.97,9896.11,740.24,24442.92,2641.25
2018-10-30,8278.31,10175.57,742.58,24874.64,2682.63
2018-10-31,8314.03,10191.18,733.84,25115.76,2711.74
2018-11-01,8396.08,10368.52,729.11,25380.74,2740.37
2018-11-02,8367.13,10366.32,724.85,25270.83,2723.06
2018-11-05,8419.85,10361.81,734.8,25461.7,2738.31
2018-11-06,8486.78,10474.11,740.15,25635.01,2755.45
2018-11-07,8656.47,10714.49,747.1,26180.3,2813.89
2018-11-08,8641.32,10660.66,743.73,26191.22,2806.83
2018-11-09,8561.83,10517.21,738.23,25989.3,2781.01
2018-11-12,8403.44,10366.51,733.04,25387.18,2726.22
2018-11-13,8402.01,10433.45,735.25,25286.49,2722.18
2018-11-14,8349.16,10456.61,724.57,25080.5,2701.58
2018-11-15,8408.19,10615.3,715.02,25289.27,2730.2
2018-11-16,8449.46,10583.6,729.43,25413.22,2736.27
2018-11-19,8366.6,10534.46,732.29,25017.44,2690.73
2018-11-20,8181.95,10212.94,727.65,24465.64,2641.89
2018-11-21,8199.85,10365.53,718.69,24464.69,2649.93
2018-11-23,8167.4,10369.01,719.63,24285.95,2632.56
2018-11-26,8266.61,10476.55,723.84,24640.24,2673.45
2018-11-27,8305.13,10505.81,730.49,24748.73,2682.17
2018-11-28,8481.05,10766.61,730.09,25366.43,2743.79
2018-11-29,8455.23,10679.8,729.08,25338.84,2737.76
2018-11-30,8545.83,10820.2,741.92,25538.46,2760.17
2018-12-01,8252.36,10059.37,727.25,24999.67,2704.1
2018-12-02,8333.83,10632.49,753.29,25106.33,2784.7
2018-12-03,8619.47,10850.44,748.56,25826.43,2790.37
2018-12-04,8363.02,10374.07,749.84,25027.07,2700.06
2018-12-05,8349.1,10638.22,807.22,25126.41,2884.05
2018-12-06,8343.42,10358.7,749.34,24947.67,2695.95
2018-12-07,8153.5,9951.16,753.51,24388.95,2633.08
2018-12-08,8798.44,10433.45,818.21,26583.42,2900.51
2018-12-09,9056.67,10813.62,879.11,27147.08,2979.39
2018-12-10,8147.31,9876.54,755.49,24423.26,2637.72
2018-12-11,8129.57,9831.0,756.94,24370.24,2636.78
2018-12-12,8155.06,9833.81,753.54,24527.27,2651.07
2018-12-13,8143.86,9672.74,759.55,24597.38,2650.54
2018-12-14,8010.05,9514.11,757.85,24100.51,2599.95
2018-12-17,7844.65,9403.53,732.21,23592.98,2545.94
2018-12-18,7862.88,9445.47,728.05,23675.64,2546.16
2018-12-19,7727.82,9147.66,726.76,23323.66,2506.96
2018-12-20,7616.5,9029.94,729.42,22859.6,2467.42
2018-12-21,7490.61,8874.79,722.38,22445.37,2416.62
